episode,reward,steps,outcome,env,timestamp
9201,12.4811,13,landed,diagonal_medium,12:21:17
9202,12.7783,13,landed,diagonal_medium,12:21:21
9203,12.7816,13,landed,diagonal_medium,12:21:28
9204,-2.9277,9,fell,diagonal_medium,12:21:35
9205,-4.4444,10,fell,diagonal_medium,12:21:41
9206,13.0069,14,landed,diagonal_medium,12:21:47
9207,12.5685,13,landed,diagonal_medium,12:21:54
9208,-4.4106,10,fell,diagonal_medium,12:22:00
9209,-3.7732,10,fell,diagonal_medium,12:22:06
9210,-4.4822,6,fell,diagonal_medium,12:22:11
9211,12.6037,13,landed,diagonal_medium,12:22:17
9212,12.7648,13,landed,diagonal_medium,12:22:24
9213,-2.8854,9,fell,diagonal_medium,12:22:31
9214,12.5916,13,landed,diagonal_medium,12:22:37
9215,12.7116,13,landed,diagonal_medium,12:22:44
9216,12.75,13,landed,diagonal_medium,12:22:51
9217,12.7791,13,landed,diagonal_medium,12:22:58
9218,12.7371,13,landed,diagonal_medium,12:23:06
9219,-4.2154,9,fell,diagonal_medium,12:23:12
9220,-2.7206,12,fell,diagonal_medium,12:23:19
9221,-2.744,12,fell,diagonal_medium,12:23:25
9222,-2.9406,9,fell,diagonal_medium,12:23:32
9223,12.9171,13,landed,diagonal_medium,12:23:38
9224,-4.6243,7,fell,diagonal_medium,12:23:44
9225,-2.2374,13,fell,diagonal_medium,12:23:50
9226,-2.8891,9,fell,diagonal_medium,12:23:57
9227,12.7765,13,landed,diagonal_medium,12:24:03
9228,12.7076,13,landed,diagonal_medium,12:24:10
9229,-3.9087,10,fell,diagonal_medium,12:24:17
9230,12.7837,13,landed,diagonal_medium,12:24:24
9231,-4.4145,10,fell,diagonal_medium,12:24:30
9232,12.466,13,landed,diagonal_medium,12:24:36
9233,12.5924,13,landed,diagonal_medium,12:24:43
9234,12.6057,13,landed,diagonal_medium,12:24:50
9235,12.756,13,landed,diagonal_medium,12:24:58
9236,12.6132,13,landed,diagonal_medium,12:25:05
9237,-3.2448,9,fell,diagonal_medium,12:25:11
9238,-4.433,10,fell,diagonal_medium,12:25:17
9239,-4.1015,10,fell,diagonal_medium,12:25:22
9240,12.7187,14,landed,diagonal_medium,12:25:29
9241,12.751,13,landed,diagonal_medium,12:25:36
9242,-2.9276,9,fell,diagonal_medium,12:25:42
9243,12.7811,13,landed,diagonal_medium,12:25:48
9244,12.7547,13,landed,diagonal_medium,12:25:55
9245,-5.1993,3,fell,diagonal_medium,12:26:03
9246,2.7919,30,near_miss,diagonal_medium,12:26:11
9247,12.7681,13,landed,diagonal_medium,12:26:15
9248,12.7116,13,landed,diagonal_medium,12:26:22
9249,12.7061,13,landed,diagonal_medium,12:26:29
9250,12.7216,13,landed,diagonal_medium,12:26:36
9251,12.7478,13,landed,diagonal_medium,12:26:44
9252,-2.9317,10,fell,diagonal_medium,12:26:50
9253,12.7837,13,landed,diagonal_medium,12:26:56
9254,12.7441,13,landed,diagonal_medium,12:27:03
9255,12.5685,13,landed,diagonal_medium,12:27:10
9256,12.603,13,landed,diagonal_medium,12:27:17
9257,12.6226,13,landed,diagonal_medium,12:27:24
9258,12.6071,13,landed,diagonal_medium,12:27:31
9259,12.7076,13,landed,diagonal_medium,12:27:38
9260,12.7692,13,landed,diagonal_medium,12:27:46
9261,12.3242,12,landed,diagonal_medium,12:27:52
9262,-3.7535,10,fell,diagonal_medium,12:27:59
9263,12.7622,13,landed,diagonal_medium,12:28:06
9264,12.5906,13,landed,diagonal_medium,12:28:13
9265,-3.0092,7,fell,diagonal_medium,12:28:19
9266,12.5988,13,landed,diagonal_medium,12:28:25
9267,-2.9217,9,fell,diagonal_medium,12:28:32
9268,12.7275,13,landed,diagonal_medium,12:28:38
9269,-2.9268,9,fell,diagonal_medium,12:28:44
9270,12.739,13,landed,diagonal_medium,12:28:51
9271,-4.3427,7,fell,diagonal_medium,12:28:57
9272,12.7751,13,landed,diagonal_medium,12:29:03
9273,-2.9212,9,fell,diagonal_medium,12:29:09
9274,12.7789,13,landed,diagonal_medium,12:29:15
9275,12.7692,13,landed,diagonal_medium,12:29:22
9276,12.7805,13,landed,diagonal_medium,12:29:30
9277,-3.9672,10,fell,vertical_small,12:29:48
9278,-5.1067,9,fell,vertical_small,12:29:54
9279,12.7052,10,landed,vertical_small,12:30:00
9280,-5.3392,11,fell,vertical_small,12:30:07
9281,-5.538,8,fell,vertical_small,12:30:12
9282,-5.5772,10,fell,vertical_small,12:30:18
9283,-4.6014,13,fell,vertical_small,12:30:24
9284,-5.2265,8,fell,vertical_small,12:30:30
9285,12.6862,12,landed,vertical_small,12:30:36
9286,-6.206,22,fell,vertical_small,12:30:44
9287,12.6456,10,landed,vertical_small,12:30:51
9288,-5.5955,7,fell,vertical_small,12:30:56
9289,12.7569,11,landed,vertical_small,12:31:02
9290,-5.8745,7,fell,vertical_small,12:31:08
9291,-5.5399,6,fell,vertical_small,12:31:13
9292,-2.8172,9,fell,vertical_small,12:31:19
9293,12.6998,14,landed,vertical_small,12:31:27
9294,-5.5967,12,fell,vertical_small,12:31:33
9295,-5.3504,7,fell,vertical_small,12:31:39
9296,12.6722,13,landed,vertical_small,12:31:45
9297,-5.5371,6,fell,vertical_small,12:31:51
9298,-3.3355,13,fell,vertical_small,12:31:57
9299,-3.3572,9,fell,vertical_small,12:32:04
9300,-5.3396,10,fell,vertical_small,12:32:10
9301,-5.2337,8,fell,vertical_small,12:32:15
9302,-5.5846,8,fell,vertical_small,12:32:20
9303,12.7244,14,landed,vertical_small,12:32:27
9304,-5.2886,6,fell,vertical_small,12:32:32
9305,-5.2899,6,fell,vertical_small,12:32:37
9306,-5.2556,7,fell,vertical_small,12:32:43
9307,-5.1602,7,fell,vertical_small,12:32:48
9308,-5.5731,8,fell,vertical_small,12:32:53
9309,-5.6089,15,fell,vertical_small,12:33:00
9310,-5.2676,7,fell,vertical_small,12:33:05
9311,-5.5922,7,fell,vertical_small,12:33:10
9312,-5.9536,12,fell,vertical_small,12:33:16
9313,-5.309,7,fell,vertical_small,12:33:21
9314,-5.2545,7,fell,vertical_small,12:33:27
9315,12.6299,11,landed,vertical_small,12:33:33
9316,-5.8958,9,fell,vertical_small,12:33:39
9317,-5.5969,8,fell,vertical_small,12:33:45
9318,-3.9903,8,fell,vertical_small,12:33:50
9319,-5.9213,10,fell,vertical_small,12:33:56
9320,-5.3045,7,fell,vertical_small,12:34:02
9321,-4.9945,9,fell,vertical_small,12:34:07
9322,-4.9669,9,fell,vertical_small,12:34:13
9323,-5.8885,8,fell,vertical_small,12:34:18
9324,12.727,10,landed,vertical_small,12:34:24
9325,12.6157,13,landed,vertical_small,12:34:31
9326,-5.8221,6,fell,vertical_small,12:34:37
9327,-5.5374,6,fell,vertical_small,12:34:42
9328,-5.5586,7,fell,vertical_small,12:34:47
9329,-5.5465,7,fell,vertical_small,12:34:52
9330,-5.6005,14,fell,vertical_small,12:34:59
9331,-4.5214,17,fell,vertical_small,12:35:06
9332,-4.535,7,fell,vertical_small,12:35:11
9333,-4.4652,7,fell,vertical_small,12:35:17
9334,-5.7466,7,fell,vertical_small,12:35:23
9335,-5.528,7,fell,vertical_small,12:35:28
9336,-5.3283,16,fell,vertical_small,12:35:35
9337,-5.2886,6,fell,vertical_small,12:35:40
9338,-3.7228,7,fell,vertical_small,12:35:45
9339,-5.5729,7,fell,vertical_small,12:35:52
9340,12.673,13,landed,vertical_small,12:35:58
9341,-5.8452,8,fell,vertical_small,12:36:04
9342,-5.119,8,fell,vertical_small,12:36:10
9343,-5.5452,7,fell,vertical_small,12:36:15
9344,-5.5849,8,fell,vertical_small,12:36:21
9345,-5.5872,8,fell,vertical_small,12:36:28
9346,-3.3888,9,fell,vertical_small,12:36:33
9347,-5.5427,6,fell,vertical_small,12:36:39
9348,-3.8329,6,fell,vertical_small,12:36:44
9349,-5.9161,8,fell,vertical_small,12:36:50
9350,12.3489,17,landed,vertical_small,12:36:57
9351,12.6493,11,landed,vertical_small,12:37:03
9352,-5.5359,6,fell,vertical_small,12:37:09
9353,-5.5939,11,fell,vertical_small,12:37:15
9354,-5.5602,8,fell,vertical_small,12:37:21
9355,-5.3323,10,fell,vertical_small,12:37:26
9356,-5.6056,12,fell,vertical_small,12:37:33
9357,-5.5685,7,fell,vertical_small,12:37:38
9358,-3.496,10,fell,vertical_small,12:37:43
9359,12.663,12,landed,vertical_small,12:37:50
9360,-5.8383,8,fell,vertical_small,12:37:56
9361,-5.5736,8,fell,vertical_small,12:38:02
9362,-5.867,8,fell,vertical_small,12:38:07
9363,-5.5474,7,fell,vertical_small,12:38:12
9364,-5.575,8,fell,vertical_small,12:38:18
9365,-5.8942,9,fell,vertical_small,12:38:23
9366,-5.3445,9,fell,vertical_small,12:38:29
9367,-5.5365,6,fell,vertical_small,12:38:34
9368,-5.0667,5,fell,vertical_small,12:38:39
9369,-5.5962,12,fell,vertical_small,12:38:45
9370,-5.9753,17,fell,vertical_small,12:38:52
9371,-5.528,7,fell,vertical_small,12:38:57
9372,-5.5561,7,fell,vertical_small,12:39:02
9373,-5.2886,11,fell,vertical_small,12:39:08
9374,12.7419,12,landed,vertical_small,12:39:14
9375,12.7219,13,landed,vertical_small,12:39:21
9376,-3.9687,14,fell,vertical_small,12:39:28
9377,-5.5976,8,fell,vertical_small,12:39:34
9378,-4.2212,6,fell,vertical_small,12:39:39
9379,12.6034,12,landed,vertical_small,12:39:46
9380,-5.5279,7,fell,vertical_small,12:39:52
9381,-5.538,8,fell,vertical_small,12:39:58
9382,12.6868,12,landed,vertical_small,12:40:04
9383,-5.566,8,fell,vertical_small,12:40:10
9384,-5.5624,7,fell,vertical_small,12:40:15
9385,12.7013,12,landed,vertical_small,12:40:21
9386,-4.9569,22,fell,vertical_small,12:40:30
9387,-5.5635,9,fell,vertical_small,12:40:35
9388,-2.4074,11,fell,vertical_small,12:40:41
9389,-5.8979,16,fell,vertical_small,12:40:48
9390,-5.5359,6,fell,vertical_small,12:40:53
9391,-5.6632,18,fell,vertical_small,12:41:01
9392,-5.5302,7,fell,vertical_small,12:41:06
9393,-5.2507,9,fell,vertical_small,12:41:11
9394,12.6425,11,landed,vertical_small,12:41:17
9395,-3.4732,16,fell,vertical_small,12:41:25
9396,-5.0599,7,fell,vertical_small,12:41:32
9397,12.6687,14,landed,vertical_small,12:41:37
9398,-5.7083,7,fell,vertical_small,12:41:43
9399,12.7569,11,landed,vertical_small,12:41:49
9400,-5.251,9,fell,vertical_small,12:41:56
9401,-5.567,10,fell,vertical_small,12:42:02
9402,-5.2371,9,fell,vertical_small,12:42:07
9403,12.6468,12,landed,vertical_small,12:42:13
9404,-5.9104,10,fell,vertical_small,12:42:20
9405,-3.246,8,fell,vertical_small,12:42:25
9406,-5.5378,6,fell,vertical_small,12:42:32
9407,12.8045,12,landed,vertical_small,12:42:38
9408,-3.9521,12,fell,vertical_small,12:42:45
9409,-3.8944,8,fell,vertical_small,12:42:51
9410,-5.5806,9,fell,vertical_small,12:42:58
9411,-5.528,7,fell,vertical_small,12:43:03
9412,-3.4325,11,fell,vertical_small,12:43:09
9413,12.6316,11,landed,vertical_small,12:43:15
9414,-5.5638,7,fell,vertical_small,12:43:21
9415,12.5595,12,landed,vertical_small,12:43:27
9416,-5.5636,8,fell,vertical_small,12:43:33
9417,-5.5784,10,fell,vertical_small,12:43:39
9418,-5.3089,8,fell,vertical_small,12:43:44
9419,-3.824,9,fell,vertical_small,12:43:50
9420,-5.499,19,fell,vertical_small,12:43:58
9421,12.6699,11,landed,vertical_small,12:44:04
9422,-5.5733,11,fell,vertical_small,12:44:11
9423,-5.5635,7,fell,vertical_small,12:44:16
9424,-5.2118,11,fell,vertical_small,12:44:22
9425,-4.5202,7,fell,vertical_small,12:44:27
9426,-3.8263,9,fell,vertical_small,12:44:33
9427,-5.6031,10,fell,vertical_small,12:44:39
9428,-5.3491,8,fell,vertical_small,12:44:44
9429,-5.5785,10,fell,vertical_small,12:44:50
9430,-4.4951,8,fell,vertical_small,12:44:56
9431,-5.226,7,fell,vertical_small,12:45:01
9432,-5.5827,8,fell,vertical_small,12:45:06
9433,-5.8235,6,fell,vertical_small,12:45:11
9434,12.6926,11,landed,vertical_small,12:45:17
9435,-5.7124,18,fell,vertical_small,12:45:26
9436,-5.5783,9,fell,vertical_small,12:45:31
9437,-4.4744,7,fell,vertical_small,12:45:36
9438,-4.464,8,fell,vertical_small,12:45:42
9439,-5.5391,7,fell,vertical_small,12:45:47
9440,12.7564,12,landed,vertical_small,12:45:53
9441,-5.2608,7,fell,vertical_small,12:46:00
9442,-5.557,7,fell,vertical_small,12:46:05
9443,12.6306,13,landed,vertical_small,12:46:11
9444,-5.8205,6,fell,vertical_small,12:46:17
9445,-5.7351,13,fell,vertical_small,12:46:23
9446,-3.9067,9,fell,vertical_small,12:46:28
9447,-5.7299,8,fell,vertical_small,12:46:35
9448,-5.8756,8,fell,vertical_small,12:46:40
9449,-3.7705,9,fell,vertical_small,12:46:45
9450,-5.538,8,fell,vertical_small,12:46:54
9451,12.7567,10,landed,vertical_small,12:46:58
9452,-5.2912,10,fell,vertical_small,12:47:05
9453,-5.8192,6,fell,vertical_small,12:47:10
9454,-4.4666,7,fell,vertical_small,12:47:15
9455,-6.1023,23,fell,vertical_small,12:47:24
9456,-5.1531,6,fell,vertical_small,12:47:28
9457,-3.8224,16,fell,vertical_small,12:47:35
9458,-5.1848,10,fell,vertical_small,12:47:41
9459,-5.2988,7,fell,vertical_small,12:47:46
9460,-3.9366,10,fell,vertical_small,12:47:52
9461,-5.9431,12,fell,vertical_small,12:47:59
9462,-5.538,8,fell,vertical_small,12:48:04
9463,-5.5391,6,fell,vertical_small,12:48:09
9464,-3.8329,6,fell,vertical_small,12:48:14
9465,-5.6139,13,fell,vertical_small,12:48:21
9466,-3.7391,7,fell,vertical_small,12:48:26
9467,-5.2197,7,fell,vertical_small,12:48:32
9468,-5.5279,7,fell,vertical_small,12:48:37
9469,12.7975,12,landed,vertical_small,12:48:43
9470,-5.3036,7,fell,vertical_small,12:48:49
9471,-5.852,9,fell,vertical_small,12:48:55
9472,12.7117,11,landed,vertical_small,12:49:00
9473,-5.2897,6,fell,vertical_small,12:49:07
9474,-3.8744,8,fell,vertical_small,12:49:12
9475,-5.3438,7,fell,vertical_small,12:49:18
9476,12.6401,12,landed,vertical_small,12:49:24
9477,-5.8721,11,fell,vertical_small,12:49:37
9478,-5.1309,9,fell,vertical_small,12:49:46
9479,-5.905,9,fell,vertical_small,12:49:52
9480,-6.7373,20,fell,vertical_small,12:50:00
9481,12.7501,17,landed,vertical_small,12:50:07
9482,-5.6195,7,fell,vertical_small,12:50:13
9483,12.5817,12,landed,vertical_small,12:50:19
9484,-6.0853,7,fell,vertical_small,12:50:25
9485,12.7694,11,landed,vertical_small,12:50:31
9486,-4.9325,7,fell,vertical_small,12:50:37
9487,-5.6027,9,fell,vertical_small,12:50:43
9488,-5.9021,7,fell,vertical_small,12:50:48
9489,-5.5968,11,fell,vertical_small,12:50:54
9490,-5.8411,8,fell,vertical_small,12:50:59
9491,12.7281,12,landed,vertical_small,12:51:05
9492,-5.528,7,fell,vertical_small,12:51:11
9493,-5.5497,9,fell,vertical_small,12:51:17
9494,12.6431,13,landed,vertical_small,12:51:23
9495,-5.6276,12,fell,vertical_small,12:51:30
9496,-4.4955,7,fell,vertical_small,12:51:35
9497,-5.8864,9,fell,vertical_small,12:51:41
9498,-5.6089,11,fell,vertical_small,12:51:47
9499,-4.4955,7,fell,vertical_small,12:51:52
9500,-3.4019,9,fell,vertical_small,12:51:58
9501,-5.0926,7,fell,vertical_small,12:52:04
9502,-5.538,8,fell,vertical_small,12:52:09
9503,-5.559,7,fell,vertical_small,12:52:14
9504,12.6146,11,landed,vertical_small,12:52:22
9505,-5.8832,8,fell,vertical_small,12:52:27
9506,-5.5588,7,fell,vertical_small,12:52:32
9507,-5.555,10,fell,vertical_small,12:52:37
9508,12.6088,13,landed,vertical_small,12:52:44
9509,-5.8872,8,fell,vertical_small,12:52:50
9510,12.807,11,landed,vertical_small,12:52:55
9511,12.7713,12,landed,vertical_small,12:53:03
9512,-5.9248,9,fell,vertical_small,12:53:09
9513,-5.8922,7,fell,vertical_small,12:53:15
9514,-5.9235,10,fell,vertical_small,12:53:20
9515,-3.3432,8,fell,vertical_small,12:53:25
9516,2.0026,30,near_miss,vertical_small,12:53:35
9517,-5.5505,9,fell,vertical_small,12:53:39
9518,12.7771,10,landed,vertical_small,12:53:45
9519,12.7467,11,landed,vertical_small,12:53:52
9520,-5.5586,7,fell,vertical_small,12:53:58
9521,-5.8193,6,fell,vertical_small,12:54:03
9522,-5.088,9,fell,vertical_small,12:54:09
9523,12.7633,11,landed,vertical_small,12:54:15
9524,-3.9872,8,fell,vertical_small,12:54:21
9525,-2.3167,11,fell,vertical_small,12:54:28
9526,-5.8795,7,fell,vertical_small,12:54:34
9527,-5.6058,8,fell,vertical_small,12:54:39
9528,12.5304,11,landed,vertical_small,12:54:45
9529,-5.8283,7,fell,vertical_small,12:54:51
9530,-5.3619,8,fell,vertical_small,12:54:57
9531,-5.3698,8,fell,vertical_small,12:55:02
9532,-5.578,7,fell,vertical_small,12:55:08
9533,12.8077,12,landed,vertical_small,12:55:14
9534,-5.9406,8,fell,vertical_small,12:55:20
9535,-5.9289,11,fell,vertical_small,12:55:26
9536,-5.8234,6,fell,vertical_small,12:55:31
9537,-5.9333,10,fell,vertical_small,12:55:37
9538,12.6299,11,landed,vertical_small,12:55:43
9539,-5.528,7,fell,vertical_small,12:55:49
9540,-3.7149,7,fell,vertical_small,12:55:54
9541,-5.538,8,fell,vertical_small,12:56:00
9542,-3.745,7,fell,vertical_small,12:56:05
9543,-5.566,7,fell,vertical_small,12:56:11
9544,-2.8096,9,fell,vertical_small,12:56:17
9545,-4.9975,9,fell,vertical_small,12:56:23
9546,12.7068,10,landed,vertical_small,12:56:29
9547,12.7931,13,landed,vertical_small,12:56:36
9548,-5.2203,7,fell,vertical_small,12:56:43
9549,12.7609,10,landed,vertical_small,12:56:48
9550,-3.9622,6,fell,vertical_small,12:56:55
9551,12.6062,11,landed,vertical_small,12:57:03
9552,-5.8174,6,fell,vertical_small,12:57:09
9553,-5.1632,7,fell,vertical_small,12:57:14
9554,-5.538,8,fell,vertical_small,12:57:20
9555,12.7609,10,landed,vertical_small,12:57:25
9556,-5.5419,7,fell,vertical_small,12:57:32
9557,12.5309,9,landed,vertical_small,12:57:37
9558,-5.5353,6,fell,vertical_small,12:57:44
9559,12.7215,12,landed,vertical_small,12:57:50
9560,-5.5568,8,fell,vertical_small,12:57:58
9561,12.719,12,landed,vertical_small,12:58:04
9562,12.8077,12,landed,vertical_small,12:58:11
9563,12.7609,10,landed,vertical_small,12:58:18
9564,-5.5713,9,fell,vertical_small,12:58:25
9565,-5.5585,7,fell,vertical_small,12:58:30
9566,-5.5518,9,fell,vertical_small,12:58:35
9567,12.7168,12,landed,vertical_small,12:58:41
9568,-5.5441,8,fell,vertical_small,12:58:47
9569,-2.2836,12,fell,vertical_small,12:58:53
9570,-5.8873,9,fell,vertical_small,12:59:00
9571,12.3448,13,landed,vertical_small,12:59:06
9572,-5.57,8,fell,vertical_small,12:59:12
9573,12.7015,11,landed,vertical_small,12:59:18
9574,-5.1556,7,fell,vertical_small,12:59:24
9575,12.7649,12,landed,vertical_small,12:59:30
9576,-5.1639,7,fell,vertical_small,12:59:37
9577,-5.5414,7,fell,vertical_small,12:59:42
9578,-4.4585,7,fell,vertical_small,12:59:47
9579,-5.5559,8,fell,vertical_small,12:59:53
9580,-5.5625,7,fell,vertical_small,12:59:58
