episode,reward,steps,outcome,env,timestamp
11901,-4.9496,10,fell,one_block_gap,16:33:01
11902,11.906,10,landed,one_block_gap,16:33:07
11903,11.957,10,landed,one_block_gap,16:33:14
11904,-4.7288,5,fell,one_block_gap,16:33:20
11905,12.2379,9,landed,one_block_gap,16:33:26
11906,-4.6269,7,fell,one_block_gap,16:33:33
11907,11.9143,10,landed,one_block_gap,16:33:38
11908,12.6906,13,landed,simple_jump,16:33:57
11909,12.4982,11,landed,simple_jump,16:34:03
11910,12.5433,11,landed,simple_jump,16:34:10
11911,12.0161,13,landed,diagonal_small,16:34:29
11912,12.1177,11,landed,diagonal_small,16:34:34
11913,12.0951,11,landed,diagonal_small,16:34:41
11914,12.1071,11,landed,diagonal_small,16:34:48
11915,12.0953,11,landed,diagonal_small,16:34:55
11916,-4.3938,8,fell,diagonal_small,16:35:02
11917,12.1053,11,landed,diagonal_small,16:35:10
11918,12.1008,11,landed,diagonal_small,16:35:17
11919,-4.3983,8,fell,diagonal_small,16:35:23
11920,12.1161,11,landed,diagonal_small,16:35:30
11921,-4.4193,11,fell,diagonal_medium,16:35:48
11922,-3.8767,9,fell,diagonal_medium,16:35:53
11923,12.7279,13,landed,diagonal_medium,16:35:59
11924,12.7703,12,landed,vertical_small,16:36:20
11925,12.7225,10,landed,vertical_small,16:36:25
11926,12.754,10,landed,vertical_small,16:36:32
11927,12.754,10,landed,vertical_small,16:36:39
11928,12.7567,10,landed,vertical_small,16:36:47
11929,12.7567,10,landed,vertical_small,16:36:54
11930,12.7567,10,landed,vertical_small,16:37:01
11931,12.8077,12,landed,vertical_small,16:37:08
11932,12.7008,10,landed,vertical_small,16:37:15
11933,12.7788,10,landed,vertical_small,16:37:22
11934,-4.0025,9,fell,three_block_gap,16:37:40
11935,-3.0102,8,fell,three_block_gap,16:37:45
11936,-3.7299,8,fell,three_block_gap,16:37:51
11937,13.196,12,landed,three_block_gap,16:37:57
11938,-3.6767,8,fell,three_block_gap,16:38:03
11939,12.8633,11,landed,three_block_gap,16:38:09
11940,12.8604,11,landed,three_block_gap,16:38:16
11941,-2.9313,8,fell,three_block_gap,16:38:23
11942,-2.9874,8,fell,three_block_gap,16:38:28
11943,-2.9031,8,fell,three_block_gap,16:38:33
