episode,reward,steps,outcome,env,timestamp
16981,12.6676,10,landed,vertical_small,23:25:22
16982,12.7527,11,landed,vertical_small,23:25:29
16983,12.7255,10,landed,vertical_small,23:25:36
16984,-3.0092,9,fell,three_block_gap,23:25:52
16985,12.8604,11,landed,three_block_gap,23:25:58
16986,12.7338,11,landed,three_block_gap,23:26:05
16987,-2.948,8,fell,three_block_gap,23:26:12
16988,-3.7288,8,fell,three_block_gap,23:26:17
16989,12.8604,11,landed,three_block_gap,23:26:23
16990,-3.6763,8,fell,three_block_gap,23:26:29
16991,-2.9363,8,fell,three_block_gap,23:26:34
16992,-2.9362,8,fell,three_block_gap,23:26:40
16993,-2.7643,8,fell,three_block_gap,23:26:45
16994,-2.9348,8,fell,three_block_gap,23:26:50
16995,-2.965,8,fell,three_block_gap,23:26:55
16996,-3.7138,8,fell,three_block_gap,23:27:01
16997,12.8633,11,landed,three_block_gap,23:27:06
16998,-4.0336,7,fell,three_block_gap,23:27:13
16999,12.7338,11,landed,three_block_gap,23:27:19
17000,12.8604,11,landed,three_block_gap,23:27:26
17001,12.1056,12,landed,one_block_gap,23:27:43
17002,12.2379,9,landed,one_block_gap,23:27:49
17003,-4.7288,5,fell,one_block_gap,23:27:55
17004,12.35,11,landed,one_block_gap,23:28:01
17005,-4.7288,5,fell,one_block_gap,23:28:07
17006,-3.2756,8,fell,one_block_gap,23:28:13
17007,-4.7288,5,fell,one_block_gap,23:28:19
17008,12.6795,13,landed,simple_jump,23:28:37
17009,12.4201,11,landed,simple_jump,23:28:43
17010,12.3735,11,landed,simple_jump,23:28:50
17011,11.996,13,landed,diagonal_small,23:29:07
17012,12.1158,11,landed,diagonal_small,23:29:13
17013,12.1157,11,landed,diagonal_small,23:29:20
17014,12.1148,11,landed,diagonal_small,23:29:27
17015,12.1052,11,landed,diagonal_small,23:29:34
17016,12.1006,11,landed,diagonal_small,23:29:41
17017,12.0952,11,landed,diagonal_small,23:29:48
17018,12.1028,11,landed,diagonal_small,23:29:56
17019,-4.7724,7,fell,diagonal_small,23:30:02
17020,12.2047,11,landed,diagonal_small,23:30:08
17021,12.5747,14,landed,diagonal_medium,23:30:24
17022,12.7567,13,landed,diagonal_medium,23:30:31
17023,12.5906,13,landed,diagonal_medium,23:30:38
17024,12.7482,11,landed,vertical_small,23:30:56
17025,12.6497,10,landed,vertical_small,23:31:02
17026,12.7052,10,landed,vertical_small,23:31:09
17027,12.6497,10,landed,vertical_small,23:31:16
17028,12.6671,9,landed,vertical_small,23:31:23
17029,12.7254,10,landed,vertical_small,23:31:30
17030,12.8045,12,landed,vertical_small,23:31:38
17031,12.8041,12,landed,vertical_small,23:31:45
17032,12.6676,10,landed,vertical_small,23:31:53
17033,12.8045,12,landed,vertical_small,23:31:59
17034,-3.209,9,fell,three_block_gap,23:32:16
17035,-2.9312,8,fell,three_block_gap,23:32:21
17036,12.8604,11,landed,three_block_gap,23:32:27
17037,-3.9941,8,fell,three_block_gap,23:32:33
17038,-3.7125,8,fell,three_block_gap,23:32:39
17039,12.7338,11,landed,three_block_gap,23:32:44
17040,-2.9604,8,fell,three_block_gap,23:32:51
17041,-3.0957,6,fell,three_block_gap,23:32:56
17042,12.8604,11,landed,three_block_gap,23:33:02
17043,12.8404,11,landed,three_block_gap,23:33:09
17044,-2.948,8,fell,three_block_gap,23:33:15
17045,12.8632,11,landed,three_block_gap,23:33:21
17046,-3.7744,8,fell,three_block_gap,23:33:28
17047,12.7338,11,landed,three_block_gap,23:33:33
