episode,reward,steps,outcome,env,timestamp
13849,-4.0026,9,fell,three_block_gap,14:32:11
13850,-3.7744,8,fell,three_block_gap,14:32:17
13851,11.9227,10,landed,one_block_gap,14:32:40
13852,11.9536,10,landed,one_block_gap,14:32:47
13853,-4.6944,5,fell,one_block_gap,14:32:53
13854,11.9159,10,landed,one_block_gap,14:32:59
13855,11.9159,10,landed,one_block_gap,14:33:06
13856,12.2244,9,landed,one_block_gap,14:33:13
13857,12.197,9,landed,one_block_gap,14:33:21
13858,12.6611,12,landed,simple_jump,14:33:40
13859,12.4086,11,landed,simple_jump,14:33:46
13860,-4.4689,6,fell,simple_jump,14:33:52
13861,-4.7856,8,fell,diagonal_small,14:34:10
13862,12.103,11,landed,diagonal_small,14:34:16
13863,12.1051,11,landed,diagonal_small,14:34:23
13864,12.1006,11,landed,diagonal_small,14:34:31
13865,12.0464,11,landed,diagonal_small,14:34:38
13866,12.0068,12,landed,diagonal_small,14:34:45
13867,12.0346,13,landed,diagonal_small,14:34:52
13868,12.0954,11,landed,diagonal_small,14:34:59
13869,12.1223,11,landed,diagonal_small,14:35:06
13870,12.0952,11,landed,diagonal_small,14:35:14
13871,-4.4195,11,fell,diagonal_medium,14:35:31
13872,12.9381,13,landed,diagonal_medium,14:35:38
13873,12.7399,13,landed,diagonal_medium,14:35:45
13874,2.5313,30,near_miss,vertical_small,14:36:08
13875,12.7646,10,landed,vertical_small,14:36:12
13876,12.754,10,landed,vertical_small,14:36:19
13877,12.6889,11,landed,vertical_small,14:36:26
13878,12.8077,12,landed,vertical_small,14:36:33
13879,12.5378,9,landed,vertical_small,14:36:40
13880,-5.06,7,fell,vertical_small,14:36:47
13881,12.7597,10,landed,vertical_small,14:36:52
13882,-5.5685,7,fell,vertical_small,14:36:59
13883,12.8045,12,landed,vertical_small,14:37:05
13884,-4.2425,9,fell,three_block_gap,14:37:23
13885,-3.6771,8,fell,three_block_gap,14:37:28
13886,12.8604,11,landed,three_block_gap,14:37:34
13887,-3.0102,8,fell,three_block_gap,14:37:41
13888,-2.7251,5,fell,three_block_gap,14:37:46
13889,-2.7642,8,fell,three_block_gap,14:37:51
13890,-3.775,8,fell,three_block_gap,14:37:57
13891,-3.9861,8,fell,three_block_gap,14:38:02
13892,12.8633,11,landed,three_block_gap,14:38:08
13893,12.8633,11,landed,three_block_gap,14:38:15
13894,-3.5084,8,fell,three_block_gap,14:38:21
13895,12.8604,11,landed,three_block_gap,14:38:27
13896,-3.7281,8,fell,three_block_gap,14:38:34
13897,12.8604,11,landed,three_block_gap,14:38:40
13898,-3.6556,8,fell,three_block_gap,14:38:46
13899,-4.0404,6,fell,three_block_gap,14:38:53
13900,-3.7281,8,fell,three_block_gap,14:38:57
13901,12.0112,11,landed,one_block_gap,14:39:18
13902,12.3827,11,landed,one_block_gap,14:39:23
13903,11.8959,12,landed,one_block_gap,14:39:31
13904,11.9043,10,landed,one_block_gap,14:39:37
13905,11.9043,10,landed,one_block_gap,14:39:44
13906,-4.7288,5,fell,one_block_gap,14:39:51
13907,12.2379,9,landed,one_block_gap,14:39:56
13908,12.6407,13,landed,simple_jump,14:40:15
13909,-3.188,5,fell,simple_jump,14:40:20
13910,12.8905,12,landed,simple_jump,14:40:26
13911,-4.813,7,fell,diagonal_small,14:40:43
13912,12.1222,11,landed,diagonal_small,14:40:49
13913,12.0558,11,landed,diagonal_small,14:40:57
13914,12.1047,11,landed,diagonal_small,14:41:04
13915,12.1071,11,landed,diagonal_small,14:41:11
13916,12.093,11,landed,diagonal_small,14:41:18
13917,-4.5181,6,fell,diagonal_small,14:41:24
13918,12.0551,11,landed,diagonal_small,14:41:30
13919,-4.8131,6,fell,diagonal_small,14:41:36
13920,12.1071,11,landed,diagonal_small,14:41:42
13921,12.7848,14,landed,diagonal_medium,14:42:00
13922,-3.9529,10,fell,diagonal_medium,14:42:06
13923,12.7592,14,landed,diagonal_medium,14:42:13
13924,12.7481,11,landed,vertical_small,14:42:35
13925,12.7225,10,landed,vertical_small,14:42:41
13926,12.754,10,landed,vertical_small,14:42:48
13927,12.6497,10,landed,vertical_small,14:42:55
13928,-3.4622,7,fell,vertical_small,14:43:02
13929,12.8049,12,landed,vertical_small,14:43:08
13930,12.5378,9,landed,vertical_small,14:43:15
13931,-5.0667,5,fell,vertical_small,14:43:21
13932,12.754,10,landed,vertical_small,14:43:27
13933,12.7008,10,landed,vertical_small,14:43:34
13934,-3.9961,9,fell,three_block_gap,14:43:52
13935,-3.989,8,fell,three_block_gap,14:43:57
13936,12.8604,11,landed,three_block_gap,14:44:03
13937,-3.992,8,fell,three_block_gap,14:44:10
13938,-2.9041,8,fell,three_block_gap,14:44:15
13939,-2.901,5,fell,three_block_gap,14:44:20
13940,-3.7369,8,fell,three_block_gap,14:44:25
13941,-3.6762,8,fell,three_block_gap,14:44:30
13942,-3.9965,8,fell,three_block_gap,14:44:36
13943,12.8604,11,landed,three_block_gap,14:44:42
13944,-2.9166,8,fell,three_block_gap,14:44:48
13945,-3.7453,8,fell,three_block_gap,14:44:53
13946,-3.9861,8,fell,three_block_gap,14:44:59
13947,-3.7281,8,fell,three_block_gap,14:45:04
13948,-3.7299,8,fell,three_block_gap,14:45:10
13949,-2.9316,8,fell,three_block_gap,14:45:15
13950,12.8604,11,landed,three_block_gap,14:45:21
13951,12.1032,12,landed,one_block_gap,14:45:39
13952,11.957,10,landed,one_block_gap,14:45:45
13953,11.9143,10,landed,one_block_gap,14:45:52
13954,-4.8117,3,fell,one_block_gap,14:45:59
13955,-4.7288,5,fell,one_block_gap,14:46:03
13956,-4.7288,5,fell,one_block_gap,14:46:08
13957,11.9143,10,landed,one_block_gap,14:46:14
13958,-4.4765,9,fell,simple_jump,14:46:32
13959,-4.6599,6,fell,simple_jump,14:46:37
13960,-4.4689,6,fell,simple_jump,14:46:43
13961,-4.3555,8,fell,diagonal_small,14:47:00
13962,12.1972,11,landed,diagonal_small,14:47:07
13963,-4.5125,6,fell,diagonal_small,14:47:13
