episode,reward,steps,outcome,env,timestamp
14151,12.2628,11,landed,one_block_gap,17:08:18
14152,-3.8765,7,fell,one_block_gap,17:08:23
14153,-4.8689,6,fell,one_block_gap,17:08:29
14154,-4.7288,5,fell,one_block_gap,17:08:34
14155,11.906,10,landed,one_block_gap,17:08:40
14156,-4.7288,5,fell,one_block_gap,17:08:46
14157,11.957,10,landed,one_block_gap,17:08:53
14158,12.9341,13,landed,simple_jump,17:09:10
14159,-4.6702,6,fell,simple_jump,17:09:15
14160,12.4207,11,landed,simple_jump,17:09:22
14161,12.0841,12,landed,diagonal_small,17:09:38
14162,12.0558,11,landed,diagonal_small,17:09:45
14163,12.1157,11,landed,diagonal_small,17:09:52
14164,12.1149,11,landed,diagonal_small,17:09:59
14165,12.1047,11,landed,diagonal_small,17:10:06
14166,12.1148,11,landed,diagonal_small,17:10:13
14167,-3.9002,9,fell,diagonal_small,17:10:20
14168,12.1158,11,landed,diagonal_small,17:10:27
14169,12.0952,11,landed,diagonal_small,17:10:35
14170,12.0496,11,landed,diagonal_small,17:10:42
14171,-4.4503,7,fell,diagonal_medium,17:10:57
14172,12.3786,12,landed,diagonal_medium,17:11:04
14173,12.6081,13,landed,diagonal_medium,17:11:11
14174,12.7798,12,landed,vertical_small,17:11:28
14175,12.744,10,landed,vertical_small,17:11:35
14176,12.7772,10,landed,vertical_small,17:11:42
14177,12.7085,10,landed,vertical_small,17:11:49
14178,12.5171,9,landed,vertical_small,17:11:56
14179,2.4779,30,near_miss,vertical_small,17:12:07
14180,12.754,10,landed,vertical_small,17:12:11
14181,12.754,10,landed,vertical_small,17:12:18
14182,12.7051,10,landed,vertical_small,17:12:25
14183,12.754,10,landed,vertical_small,17:12:32
14184,-3.2609,9,fell,three_block_gap,17:12:48
14185,12.8604,11,landed,three_block_gap,17:12:54
14186,-3.992,8,fell,three_block_gap,17:13:01
14187,-3.9939,8,fell,three_block_gap,17:13:06
14188,-3.9892,8,fell,three_block_gap,17:13:11
14189,-3.9939,8,fell,three_block_gap,17:13:16
14190,-3.6762,8,fell,three_block_gap,17:13:22
14191,12.8632,11,landed,three_block_gap,17:13:27
14192,12.7338,11,landed,three_block_gap,17:13:34
14193,-4.0237,7,fell,three_block_gap,17:13:41
14194,-1.8172,9,fell,three_block_gap,17:13:46
14195,12.7338,11,landed,three_block_gap,17:13:52
14196,-4.0077,8,fell,three_block_gap,17:13:59
14197,-2.901,5,fell,three_block_gap,17:14:03
14198,-3.6396,8,fell,three_block_gap,17:14:09
14199,12.8633,11,landed,three_block_gap,17:14:15
14200,-4.0051,8,fell,three_block_gap,17:14:22
14201,11.8923,11,landed,one_block_gap,17:14:41
14202,-4.7288,5,fell,one_block_gap,17:14:46
14203,-4.869,6,fell,one_block_gap,17:14:54
14204,-4.7288,5,fell,one_block_gap,17:14:58
