episode,reward,steps,outcome,env,timestamp
17431,12.6627,11,landed,vertical_small,04:22:10
17432,12.7255,10,landed,vertical_small,04:22:16
17433,12.8042,12,landed,vertical_small,04:22:24
17434,-4.332,7,fell,three_block_gap,04:22:40
17435,-3.9861,8,fell,three_block_gap,04:22:45
17436,12.8632,11,landed,three_block_gap,04:22:51
17437,-2.7624,8,fell,three_block_gap,04:22:58
17438,-2.9173,8,fell,three_block_gap,04:23:03
17439,-3.6762,8,fell,three_block_gap,04:23:08
17440,-3.7456,8,fell,three_block_gap,04:23:14
17441,-2.9165,8,fell,three_block_gap,04:23:19
17442,12.8604,11,landed,three_block_gap,04:23:25
17443,12.8632,11,landed,three_block_gap,04:23:32
17444,-3.6762,8,fell,three_block_gap,04:23:38
17445,-2.7644,8,fell,three_block_gap,04:23:44
17446,-2.0059,8,fell,three_block_gap,04:23:49
17447,12.8632,11,landed,three_block_gap,04:23:55
17448,-2.961,8,fell,three_block_gap,04:24:01
17449,-2.7505,8,fell,three_block_gap,04:24:06
17450,-1.7419,8,fell,three_block_gap,04:24:12
17451,11.9276,11,landed,one_block_gap,04:24:33
17452,11.9043,10,landed,one_block_gap,04:24:40
17453,12.246,11,landed,one_block_gap,04:24:47
17454,-4.7288,5,fell,one_block_gap,04:24:53
17455,11.9141,10,landed,one_block_gap,04:24:59
17456,11.9356,10,landed,one_block_gap,04:25:06
17457,11.9159,10,landed,one_block_gap,04:25:13
17458,-4.2964,7,fell,simple_jump,04:25:29
17459,12.3735,11,landed,simple_jump,04:25:36
17460,12.4207,11,landed,simple_jump,04:25:43
17461,12.0994,12,landed,diagonal_small,04:25:59
17462,12.2049,11,landed,diagonal_small,04:26:06
17463,-2.8974,11,fell,diagonal_small,04:26:13
17464,12.1221,11,landed,diagonal_small,04:26:20
17465,12.1047,11,landed,diagonal_small,04:26:27
17466,12.1157,11,landed,diagonal_small,04:26:34
17467,12.1149,11,landed,diagonal_small,04:26:41
17468,-4.3923,8,fell,diagonal_small,04:26:48
17469,12.1508,10,landed,diagonal_small,04:26:55
17470,12.1157,11,landed,diagonal_small,04:27:03
17471,13.0012,15,landed,diagonal_medium,04:27:20
17472,-4.285,9,fell,diagonal_medium,04:27:26
17473,12.6235,13,landed,diagonal_medium,04:27:32
17474,12.7912,12,landed,vertical_small,04:27:49
17475,12.7254,10,landed,vertical_small,04:27:55
17476,12.8042,12,landed,vertical_small,04:28:03
17477,12.5171,9,landed,vertical_small,04:28:09
17478,12.7772,10,landed,vertical_small,04:28:17
17479,12.8042,12,landed,vertical_small,04:28:24
17480,12.7536,10,landed,vertical_small,04:28:31
17481,12.7193,10,landed,vertical_small,04:28:38
17482,12.8047,12,landed,vertical_small,04:28:46
17483,12.8042,12,landed,vertical_small,04:28:52
17484,-2.9394,9,fell,three_block_gap,04:29:09
17485,-3.9861,8,fell,three_block_gap,04:29:14
17486,-4.5098,9,fell,three_block_gap,04:29:19
17487,-1.9315,8,fell,three_block_gap,04:29:25
17488,12.8632,11,landed,three_block_gap,04:29:30
17489,-2.9419,8,fell,three_block_gap,04:29:37
17490,-2.9363,8,fell,three_block_gap,04:29:42
17491,-2.7624,8,fell,three_block_gap,04:29:48
17492,-3.7454,8,fell,three_block_gap,04:29:53
17493,-2.9363,8,fell,three_block_gap,04:29:58
17494,-3.7564,8,fell,three_block_gap,04:30:03
17495,-3.6795,8,fell,three_block_gap,04:30:08
17496,-2.9167,8,fell,three_block_gap,04:30:14
17497,-3.9861,8,fell,three_block_gap,04:30:19
17498,-2.9171,8,fell,three_block_gap,04:30:24
17499,-2.9587,8,fell,three_block_gap,04:30:29
17500,-3.7651,8,fell,three_block_gap,04:30:35
17501,-4.8789,7,fell,one_block_gap,04:30:55
17502,11.906,10,landed,one_block_gap,04:31:01
17503,11.9356,10,landed,one_block_gap,04:31:08
17504,12.2244,9,landed,one_block_gap,04:31:16
17505,12.2244,9,landed,one_block_gap,04:31:23
17506,-4.8689,6,fell,one_block_gap,04:31:29
17507,-4.7288,5,fell,one_block_gap,04:31:34
17508,-3.0483,11,fell,simple_jump,04:31:50
17509,12.4151,11,landed,simple_jump,04:31:57
17510,12.4132,11,landed,simple_jump,04:32:04
17511,12.1045,12,landed,diagonal_small,04:32:21
17512,12.1144,11,landed,diagonal_small,04:32:27
17513,12.1177,11,landed,diagonal_small,04:32:34
17514,12.1052,11,landed,diagonal_small,04:32:42
17515,12.1026,11,landed,diagonal_small,04:32:49
17516,12.1047,11,landed,diagonal_small,04:32:56
17517,12.1052,11,landed,diagonal_small,04:33:03
17518,12.1161,11,landed,diagonal_small,04:33:10
17519,12.1144,11,landed,diagonal_small,04:33:17
17520,12.2047,11,landed,diagonal_small,04:33:24
17521,12.8814,15,landed,diagonal_medium,04:33:41
17522,12.7783,13,landed,diagonal_medium,04:33:47
17523,12.7668,13,landed,diagonal_medium,04:33:54
17524,-5.2989,7,fell,vertical_small,04:34:10
17525,12.8041,12,landed,vertical_small,04:34:17
17526,12.8045,12,landed,vertical_small,04:34:24
17527,-5.5283,7,fell,vertical_small,04:34:30
17528,12.7255,10,landed,vertical_small,04:34:36
17529,12.7254,10,landed,vertical_small,04:34:43
17530,12.754,10,landed,vertical_small,04:34:50
17531,-5.5474,7,fell,vertical_small,04:34:56
17532,12.7255,10,landed,vertical_small,04:35:02
17533,12.7536,10,landed,vertical_small,04:35:09
17534,-2.9692,9,fell,three_block_gap,04:35:25
17535,12.7338,11,landed,three_block_gap,04:35:31
17536,-3.7197,8,fell,three_block_gap,04:35:37
17537,12.8632,11,landed,three_block_gap,04:35:43
17538,-2.9653,8,fell,three_block_gap,04:35:50
17539,-2.9471,8,fell,three_block_gap,04:35:55
17540,-2.9174,8,fell,three_block_gap,04:36:00
17541,-2.9216,8,fell,three_block_gap,04:36:05
17542,-2.7644,8,fell,three_block_gap,04:36:11
17543,-2.9167,8,fell,three_block_gap,04:36:16
17544,-2.7858,8,fell,three_block_gap,04:36:21
17545,-2.9135,8,fell,three_block_gap,04:36:26
17546,-2.9134,8,fell,three_block_gap,04:36:32
17547,-3.7744,8,fell,three_block_gap,04:36:37
17548,-3.6762,8,fell,three_block_gap,04:36:42
17549,-2.9621,8,fell,three_block_gap,04:36:47
17550,-1.8024,8,fell,three_block_gap,04:36:53
17551,11.9228,10,landed,one_block_gap,04:37:16
17552,-4.7288,5,fell,one_block_gap,04:37:22
17553,11.957,10,landed,one_block_gap,04:37:28
17554,-4.7288,5,fell,one_block_gap,04:37:34
17555,11.957,10,landed,one_block_gap,04:37:40
17556,12.2379,9,landed,one_block_gap,04:37:47
17557,11.957,10,landed,one_block_gap,04:37:55
17558,12.9432,13,landed,simple_jump,04:38:12
17559,12.4151,11,landed,simple_jump,04:38:17
17560,12.4151,11,landed,simple_jump,04:38:24
17561,12.0995,12,landed,diagonal_small,04:38:42
17562,12.1051,11,landed,diagonal_small,04:38:48
17563,-4.7614,7,fell,diagonal_small,04:38:54
17564,12.116,11,landed,diagonal_small,04:39:00
17565,12.1157,11,landed,diagonal_small,04:39:07
17566,12.1972,11,landed,diagonal_small,04:39:14
17567,12.1007,11,landed,diagonal_small,04:39:21
17568,12.1157,11,landed,diagonal_small,04:39:28
17569,12.1026,11,landed,diagonal_small,04:39:35
17570,12.1026,11,landed,diagonal_small,04:39:42
17571,12.6126,14,landed,diagonal_medium,04:39:59
17572,12.7684,13,landed,diagonal_medium,04:40:06
17573,12.5913,13,landed,diagonal_medium,04:40:13
17574,12.6675,10,landed,vertical_small,04:40:29
17575,-4.1867,6,fell,vertical_small,04:40:35
17576,12.8042,12,landed,vertical_small,04:40:43
17577,12.7771,10,landed,vertical_small,04:40:50
17578,12.7832,11,landed,vertical_small,04:40:58
17579,12.7255,10,landed,vertical_small,04:41:04
17580,12.5378,9,landed,vertical_small,04:41:11
17581,12.7772,10,landed,vertical_small,04:41:19
17582,12.8026,10,landed,vertical_small,04:41:26
17583,-3.4829,7,fell,vertical_small,04:41:32
17584,-3.1529,9,fell,three_block_gap,04:41:49
17585,12.8504,12,landed,three_block_gap,04:41:55
17586,12.8632,11,landed,three_block_gap,04:42:02
17587,-2.9853,8,fell,three_block_gap,04:42:09
17588,-2.948,8,fell,three_block_gap,04:42:14
17589,-4.5416,4,fell,three_block_gap,04:42:19
17590,-3.7,8,fell,three_block_gap,04:42:25
17591,-3.6368,8,fell,three_block_gap,04:42:30
17592,-2.6981,8,fell,three_block_gap,04:42:36
17593,-2.9167,8,fell,three_block_gap,04:42:41
17594,-2.9218,8,fell,three_block_gap,04:42:46
17595,-2.9141,8,fell,three_block_gap,04:42:52
17596,-2.9171,8,fell,three_block_gap,04:42:57
17597,-3.7299,8,fell,three_block_gap,04:43:02
17598,-2.9671,8,fell,three_block_gap,04:43:07
17599,12.8632,11,landed,three_block_gap,04:43:13
17600,12.8632,11,landed,three_block_gap,04:43:20
17601,-4.6562,8,fell,one_block_gap,04:43:35
17602,-3.8765,7,fell,one_block_gap,04:43:41
17603,-4.094,8,fell,one_block_gap,04:43:48
17604,12.0148,10,landed,one_block_gap,04:43:55
17605,-4.5364,7,fell,one_block_gap,04:44:02
17606,11.906,10,landed,one_block_gap,04:44:10
17607,11.9356,10,landed,one_block_gap,04:44:17
17608,12.6611,12,landed,simple_jump,04:44:35
17609,12.4207,11,landed,simple_jump,04:44:42
17610,12.5623,11,landed,simple_jump,04:44:49
17611,12.0793,12,landed,diagonal_small,04:45:05
17612,12.2063,11,landed,diagonal_small,04:45:12
17613,12.3029,11,landed,diagonal_small,04:45:19
17614,-4.3721,6,fell,diagonal_small,04:45:26
17615,12.1221,11,landed,diagonal_small,04:45:31
17616,12.2054,11,landed,diagonal_small,04:45:38
17617,12.3029,11,landed,diagonal_small,04:45:46
17618,12.1026,11,landed,diagonal_small,04:45:53
17619,12.116,11,landed,diagonal_small,04:46:00
