episode,reward,steps,outcome,env,timestamp
15753,11.9496,11,landed,one_block_gap,23:08:04
15754,-4.7288,5,fell,one_block_gap,23:08:09
15755,12.2244,9,landed,one_block_gap,23:08:15
15756,11.906,10,landed,one_block_gap,23:08:22
15757,-4.7288,5,fell,one_block_gap,23:08:28
15758,-4.4653,8,fell,simple_jump,23:08:44
15759,12.8673,12,landed,simple_jump,23:08:50
15760,12.8805,12,landed,simple_jump,23:08:57
15761,-4.5402,8,fell,diagonal_small,23:09:14
15762,12.1222,11,landed,diagonal_small,23:09:20
15763,12.1222,11,landed,diagonal_small,23:09:27
15764,12.2047,11,landed,diagonal_small,23:09:34
15765,12.2044,11,landed,diagonal_small,23:09:41
15766,12.1177,11,landed,diagonal_small,23:09:48
15767,12.1047,11,landed,diagonal_small,23:09:55
15768,12.1157,11,landed,diagonal_small,23:10:02
15769,12.1026,11,landed,diagonal_small,23:10:09
15770,-3.4948,14,fell,diagonal_small,23:10:17
15771,12.4765,14,landed,diagonal_medium,23:10:38
15772,12.609,13,landed,diagonal_medium,23:10:45
15773,-3.7141,10,fell,diagonal_medium,23:10:52
15774,12.6675,10,landed,vertical_small,23:11:10
15775,12.7771,10,landed,vertical_small,23:11:17
15776,12.7052,10,landed,vertical_small,23:11:24
15777,12.7254,10,landed,vertical_small,23:11:31
15778,12.7254,10,landed,vertical_small,23:11:38
15779,12.7772,10,landed,vertical_small,23:11:45
15780,12.7254,10,landed,vertical_small,23:11:53
15781,12.5378,9,landed,vertical_small,23:11:59
15782,12.8077,12,landed,vertical_small,23:12:07
15783,12.5171,9,landed,vertical_small,23:12:14
15784,-2.9953,9,fell,three_block_gap,23:12:30
15785,-2.9576,8,fell,three_block_gap,23:12:36
15786,13.2016,12,landed,three_block_gap,23:12:41
15787,-2.9445,8,fell,three_block_gap,23:12:48
15788,-2.9363,8,fell,three_block_gap,23:12:53
15789,-2.9634,8,fell,three_block_gap,23:12:58
15790,-2.9174,8,fell,three_block_gap,23:13:04
15791,-2.9651,8,fell,three_block_gap,23:13:09
15792,-1.8415,8,fell,three_block_gap,23:13:14
15793,12.8632,11,landed,three_block_gap,23:13:20
15794,-2.7975,8,fell,three_block_gap,23:13:27
15795,-2.9174,8,fell,three_block_gap,23:13:32
15796,-2.9171,8,fell,three_block_gap,23:13:37
15797,-2.7056,8,fell,three_block_gap,23:13:42
15798,-2.9615,8,fell,three_block_gap,23:13:48
15799,-2.8572,8,fell,three_block_gap,23:13:53
15800,-2.9192,8,fell,three_block_gap,23:13:58
15801,-4.4507,8,fell,one_block_gap,23:14:19
15802,-4.4403,7,fell,one_block_gap,23:14:24
15803,11.9142,10,landed,one_block_gap,23:14:30
15804,-4.6944,5,fell,one_block_gap,23:14:36
15805,11.906,10,landed,one_block_gap,23:14:43
15806,-4.6944,5,fell,one_block_gap,23:14:49
15807,11.9292,10,landed,one_block_gap,23:14:56
15808,12.5398,13,landed,simple_jump,23:15:13
15809,12.8964,12,landed,simple_jump,23:15:19
15810,12.4144,11,landed,simple_jump,23:15:26
15811,12.0991,12,landed,diagonal_small,23:15:43
15812,12.1161,11,landed,diagonal_small,23:15:49
15813,12.1001,11,landed,diagonal_small,23:15:56
15814,12.1839,11,landed,diagonal_small,23:16:04
15815,12.1177,11,landed,diagonal_small,23:16:11
15816,12.1047,11,landed,diagonal_small,23:16:18
15817,12.2049,11,landed,diagonal_small,23:16:25
15818,12.1047,11,landed,diagonal_small,23:16:32
15819,12.1227,11,landed,diagonal_small,23:16:39
15820,12.1031,11,landed,diagonal_small,23:16:46
15821,12.3847,13,landed,diagonal_medium,23:17:04
15822,12.7345,13,landed,diagonal_medium,23:17:11
15823,12.6125,13,landed,diagonal_medium,23:17:18
15824,-5.5477,7,fell,vertical_small,23:17:34
15825,-3.3329,7,fell,vertical_small,23:17:39
15826,12.7255,10,landed,vertical_small,23:17:46
15827,12.7254,10,landed,vertical_small,23:17:53
15828,12.8011,10,landed,vertical_small,23:18:00
15829,12.5378,9,landed,vertical_small,23:18:07
15830,12.7771,10,landed,vertical_small,23:18:14
15831,12.5756,11,landed,vertical_small,23:18:22
15832,12.8041,12,landed,vertical_small,23:18:29
15833,12.6671,9,landed,vertical_small,23:18:36
15834,-2.9686,9,fell,three_block_gap,23:18:52
15835,-2.7641,8,fell,three_block_gap,23:18:57
15836,-2.9587,8,fell,three_block_gap,23:19:02
15837,-3.7299,8,fell,three_block_gap,23:19:08
15838,-2.7644,8,fell,three_block_gap,23:19:13
15839,-2.9615,8,fell,three_block_gap,23:19:18
15840,-4.2036,6,fell,three_block_gap,23:19:23
15841,-2.948,8,fell,three_block_gap,23:19:28
15842,-3.7299,8,fell,three_block_gap,23:19:33
15843,-3.681,8,fell,three_block_gap,23:19:38
15844,12.7338,11,landed,three_block_gap,23:19:44
15845,-2.9175,8,fell,three_block_gap,23:19:51
15846,-3.7197,8,fell,three_block_gap,23:19:56
15847,-3.1279,8,fell,three_block_gap,23:20:01
