episode,reward,steps,outcome,env,timestamp
1,-1.2883,13,fell,one_block_gap,11:02:14
2,-1.3359,15,fell,one_block_gap,11:02:20
3,-1.9672,15,fell,one_block_gap,11:02:26
4,-1.6236,13,fell,one_block_gap,11:02:33
5,-0.4509,14,fell,one_block_gap,11:02:39
6,12.289,13,landed,one_block_gap,11:02:45
7,-0.429,14,fell,one_block_gap,11:03:02
8,-1.6608,12,fell,one_block_gap,11:03:08
9,-4.6517,8,fell,one_block_gap,11:03:13
10,-2.302,15,fell,one_block_gap,11:03:20
11,12.3788,13,landed,one_block_gap,11:03:26
12,12.2513,20,landed,one_block_gap,11:03:43
13,12.2911,17,landed,one_block_gap,11:03:59
14,12.1285,27,landed,one_block_gap,11:04:09
15,12.1243,14,landed,one_block_gap,11:04:15
16,-0.9742,11,fell,one_block_gap,11:04:31
17,-2.854,12,fell,one_block_gap,11:04:37
18,-1.6415,15,fell,one_block_gap,11:04:43
19,12.1813,13,landed,one_block_gap,11:04:49
20,12.1847,12,landed,one_block_gap,11:05:05
21,-1.2917,14,fell,one_block_gap,11:05:22
22,-2.9098,10,fell,one_block_gap,11:05:27
23,-2.0489,16,fell,one_block_gap,11:05:34
24,12.12,15,landed,one_block_gap,11:05:41
25,12.1264,21,landed,one_block_gap,11:05:58
26,-0.3774,9,fell,one_block_gap,11:06:12
27,12.288,15,landed,one_block_gap,11:06:19
28,-1.0087,14,fell,one_block_gap,11:06:34
29,12.2977,17,landed,one_block_gap,11:06:41
30,-2.7311,15,fell,one_block_gap,11:06:57
31,12.1967,20,landed,one_block_gap,11:07:04
32,12.2487,13,landed,one_block_gap,11:07:11
33,12.1725,12,landed,one_block_gap,11:07:27
34,12.2521,14,landed,one_block_gap,11:07:44
35,12.2691,13,landed,one_block_gap,11:08:00
36,12.0153,23,landed,one_block_gap,11:08:19
37,-0.9631,14,fell,one_block_gap,11:08:32
38,-1.3209,16,fell,one_block_gap,11:08:39
39,12.0774,16,landed,one_block_gap,11:08:45
