episode,reward,steps,outcome,timestamp
1,-5.2996,13,fell,01:59:52
2,-4.8527,28,fell,02:00:00
3,10.2983,15,landed,02:00:07
4,-5.1283,33,fell,02:00:17
5,-5.1075,29,fell,02:00:25
6,-4.9158,16,fell,02:00:32
7,-5.1292,11,fell,02:00:38
8,-5.06,7,fell,02:00:43
9,-5.0782,16,fell,02:00:50
10,-5.04,5,fell,02:00:55
11,-5.263,43,fell,02:01:06
12,-4.7256,13,fell,02:01:12
13,-5.0123,23,fell,02:01:20
14,-4.982,6,fell,02:01:25
15,-5.116,7,fell,02:01:30
16,-5.0587,10,fell,02:01:36
17,-5.1654,10,fell,02:01:42
18,-5.0753,39,fell,02:01:53
19,-4.8384,20,fell,02:02:00
20,-5.0725,11,fell,02:02:06
21,-5.0329,9,fell,02:02:11
22,-4.8854,29,fell,02:02:20
23,-5.1047,25,fell,02:02:28
24,-4.8889,32,fell,02:02:38
25,-5.1582,13,fell,02:02:44
26,-5.0016,25,fell,02:02:52
27,-4.9853,8,fell,02:02:57
28,-4.9108,14,fell,02:03:04
29,-4.9795,18,fell,02:03:12
30,-5.0908,14,fell,02:03:19
31,10.2112,15,landed,02:03:25
