episode,reward,steps,outcome,env,timestamp
5782,-0.527,13,fell,three_block_gap,18:22:30
5783,0.314,12,fell,three_block_gap,18:22:35
5784,-0.1549,12,fell,three_block_gap,18:22:41
5785,0.3798,12,fell,three_block_gap,18:22:47
5786,-0.1569,12,fell,three_block_gap,18:22:53
5787,12.9324,10,landed,three_block_gap,18:22:59
5788,0.4841,12,fell,three_block_gap,18:23:06
5789,0.3415,9,fell,three_block_gap,18:23:11
5790,-0.4548,11,fell,three_block_gap,18:23:17
5791,0.0615,11,fell,three_block_gap,18:23:23
5792,0.3266,12,fell,three_block_gap,18:23:29
5793,-0.1832,12,fell,three_block_gap,18:23:35
5794,-0.1507,12,fell,three_block_gap,18:23:41
5795,12.9187,10,landed,three_block_gap,18:23:47
5796,-0.1889,12,fell,three_block_gap,18:23:54
5797,-0.1241,12,fell,three_block_gap,18:24:00
5798,12.3803,9,landed,three_block_gap,18:24:06
5799,0.3043,12,fell,three_block_gap,18:24:13
5800,12.9324,10,landed,three_block_gap,18:24:19
5801,0.3969,12,fell,three_block_gap,18:24:26
5802,12.4766,10,landed,three_block_gap,18:24:32
5803,0.4777,12,fell,three_block_gap,18:24:39
5804,12.9187,10,landed,three_block_gap,18:24:45
5805,0.3508,12,fell,three_block_gap,18:24:52
5806,0.444,12,fell,three_block_gap,18:24:58
5807,12.3261,9,landed,three_block_gap,18:25:04
5808,0.3811,12,fell,three_block_gap,18:25:11
5809,-0.4718,12,fell,three_block_gap,18:25:17
5810,0.326,12,fell,three_block_gap,18:25:24
5811,0.9399,12,fell,three_block_gap,18:25:29
5812,12.9324,10,landed,three_block_gap,18:25:35
5813,-0.2232,12,fell,three_block_gap,18:25:43
5814,12.3803,9,landed,three_block_gap,18:25:48
5815,0.3678,12,fell,three_block_gap,18:25:55
5816,0.3437,12,fell,three_block_gap,18:26:01
5817,0.3771,12,fell,three_block_gap,18:26:07
5818,12.384,9,landed,three_block_gap,18:26:13
5819,12.9324,10,landed,three_block_gap,18:26:20
5820,12.3803,9,landed,three_block_gap,18:26:27
5821,0.3737,12,fell,three_block_gap,18:26:35
5822,12.9187,10,landed,three_block_gap,18:26:40
5823,-0.685,10,fell,three_block_gap,18:26:47
5824,-0.2072,12,fell,three_block_gap,18:26:53
5825,-0.1804,12,fell,three_block_gap,18:26:59
5826,0.3769,12,fell,three_block_gap,18:27:05
5827,12.9324,10,landed,three_block_gap,18:27:12
5828,0.3934,12,fell,three_block_gap,18:27:18
5829,-0.7669,12,fell,three_block_gap,18:27:24
5830,0.3505,12,fell,three_block_gap,18:27:30
5831,-0.8144,10,fell,three_block_gap,18:27:36
