update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.024377,5.304617,1.956619,0.000157,0.02668
2,-0.02299,4.875593,1.895422,0.000156,0.026439
3,-0.018564,5.131243,1.928635,0.000154,0.026178
4,-0.028276,3.701464,2.03849,0.000153,0.025933
5,-0.020449,2.138209,2.040039,0.000151,0.0257
6,-0.02262,1.29303,2.067545,0.00015,0.025474
7,-0.024335,1.461762,2.046652,0.000148,0.025236
8,-0.024251,1.001963,2.025989,0.000147,0.025014
9,-0.020256,1.478052,1.988543,0.000146,0.024788
10,-0.019586,0.918009,1.944529,0.000144,0.024554
11,-0.024202,2.10547,1.779215,0.000143,0.024328
12,-0.016481,1.657451,1.712081,0.000141,0.02409
