episode,reward,steps,outcome,timestamp
2166,11.6708,14,landed,19:55:01
2167,-3.6,13,fell,19:55:17
2168,-3.6,13,fell,19:55:23
2169,-3.6636,11,fell,19:55:29
2170,-3.6184,12,fell,19:55:35
2171,11.1432,19,landed,19:55:42
2172,-3.5173,11,fell,19:55:57
2173,-3.6254,12,fell,19:56:03
2174,-3.6,13,fell,19:56:10
2175,11.6137,14,landed,19:56:16
2176,-3.6,13,fell,19:56:32
2177,-3.6516,12,fell,19:56:38
2178,-3.8973,12,fell,19:56:44
2179,-3.7228,11,fell,19:56:50
2180,-3.5303,11,fell,19:56:56
2181,-3.5,12,fell,19:57:02
2182,-4.3008,20,fell,19:57:09
2183,-3.5,12,fell,19:57:15
2184,11.8105,12,landed,19:57:21
2185,-3.2898,9,fell,19:57:37
2186,-3.7,14,fell,19:57:43
2187,-3.6,13,fell,19:57:49
2188,-3.5051,12,fell,19:57:55
2189,-3.4776,10,fell,19:58:00
2190,-3.6,13,fell,19:58:07
2191,11.6863,13,landed,19:58:13
2192,-3.6,13,fell,19:58:29
2193,-3.5212,12,fell,19:58:35
2194,-3.57,12,fell,19:58:41
2195,-3.6343,10,fell,19:58:46
2196,-3.6383,11,fell,19:58:52
2197,-3.8247,12,fell,19:58:59
2198,-4.0698,19,fell,19:59:06
2199,-3.5,12,fell,19:59:12
2200,-3.5004,12,fell,19:59:17
2201,11.6613,14,landed,19:59:24
2202,-3.5,12,fell,19:59:39
2203,-3.6,13,fell,19:59:45
2204,-3.5623,12,fell,19:59:51
2205,-3.4,11,fell,19:59:57
2206,-3.4,11,fell,20:00:03
2207,-3.7894,11,fell,20:00:09
2208,-3.5,12,fell,20:00:14
2209,-3.733,11,fell,20:00:20
2210,-3.5,12,fell,20:00:26
2211,-3.4,11,fell,20:00:32
2212,-3.6,13,fell,20:00:38
2213,-3.5302,12,fell,20:00:44
2214,-3.6,13,fell,20:00:50
2215,-3.6,13,fell,20:00:56
2216,11.8934,8,landed,20:01:01
2217,-3.6,13,fell,20:01:18
2218,-3.7,14,fell,20:01:24
2219,-3.5728,11,fell,20:01:30
2220,-4.1758,11,fell,20:01:36
2221,-3.6,13,fell,20:01:42
2222,-3.5177,11,fell,20:01:48
2223,-3.6,13,fell,20:01:54
2224,11.6515,14,landed,20:02:00
2225,-3.6,13,fell,20:02:16
2226,-3.6,13,fell,20:02:22
2227,-3.4,11,fell,20:02:28
