update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.013783,3.685412,0.753126,8.7e-05,0.015157
2,-0.013348,2.79128,1.010767,8.6e-05,0.014999
3,-0.017126,2.93032,1.987255,8.4e-05,0.01478
4,-0.020097,2.869031,1.988229,8.3e-05,0.014588
5,-0.013937,3.251371,1.960124,8.2e-05,0.014385
6,-0.025708,2.902751,1.931196,8.1e-05,0.014181
7,-0.015973,4.272017,1.727859,7.9e-05,0.01397
8,-0.014652,3.655915,1.658971,7.8e-05,0.013763
9,-0.019174,4.760901,1.502707,7.7e-05,0.01354
10,-0.013059,5.110741,1.334162,7.6e-05,0.013333
11,-0.014724,5.663657,1.192048,7.4e-05,0.013129
12,-0.009073,4.328139,1.08969,7.3e-05,0.012903
13,-0.012351,2.5103,1.038353,7.1e-05,0.012651
14,-0.011472,1.98792,0.990617,7e-05,0.012394
15,-0.004839,2.616724,0.84523,6.8e-05,0.012168
16,-0.003411,1.791469,0.911573,6.7e-05,0.011935
17,-0.007699,1.983037,0.828321,6.6e-05,0.011708
18,-0.005722,1.193988,0.821828,6.4e-05,0.011475
19,-0.002306,1.303066,0.842104,6.3e-05,0.011241
20,-0.005537,1.713385,0.800911,6.1e-05,0.011011
21,-0.002604,1.498083,0.759876,6e-05,0.010785
