episode,reward,steps,outcome,timestamp
1,11.3977,13,landed,13:18:09
2,-3.9857,14,fell,13:18:24
3,-3.789,13,fell,13:18:30
4,-3.8022,13,fell,13:18:37
5,-3.6,13,fell,13:18:43
6,-3.2,9,fell,13:18:48
7,-4.0189,13,fell,13:18:54
8,-3.6,13,fell,13:19:01
9,11.6904,14,landed,13:19:07
10,-3.8771,13,fell,13:19:23
11,-3.6374,13,fell,13:19:29
12,-3.5415,11,fell,13:19:35
13,-3.6,13,fell,13:19:41
14,-3.4,11,fell,13:19:47
15,11.5841,12,landed,13:19:53
16,-3.6,13,fell,13:20:09
17,-3.8613,12,fell,13:20:15
18,11.7793,13,landed,13:20:21
19,-3.6,13,fell,13:20:37
20,11.5357,13,landed,13:20:43
21,11.7443,13,landed,13:20:59
22,-3.6,13,fell,13:21:16
23,11.7995,13,landed,13:21:22
24,-4.0095,13,fell,13:21:38
25,11.658,14,landed,13:21:44
26,11.763,13,landed,13:22:00
27,-4.1747,11,fell,13:22:16
28,-3.6,13,fell,13:22:22
29,-3.6,13,fell,13:22:28
30,-3.6,13,fell,13:22:34
31,-3.6,13,fell,13:22:40
32,11.6419,14,landed,13:22:46
33,11.6794,14,landed,13:23:02
34,-3.6,13,fell,13:23:18
35,-3.7,14,fell,13:23:25
36,-3.7054,13,fell,13:23:31
37,11.6982,13,landed,13:23:37
38,-3.7203,14,fell,13:23:53
39,-4.1704,14,fell,13:23:59
40,11.2608,10,landed,13:24:06
41,-3.7425,14,fell,13:24:22
42,-3.7052,13,fell,13:24:28
43,-3.6377,12,fell,13:24:34
44,-3.6,13,fell,13:24:40
45,-3.8116,13,fell,13:24:46
46,-3.6,13,fell,13:24:52
47,-3.6,13,fell,13:24:58
48,11.6921,14,landed,13:25:05
49,11.6841,14,landed,13:25:21
50,-3.6,13,fell,13:25:37
51,-3.6,13,fell,13:25:43
52,11.4977,16,landed,13:25:49
53,-3.5242,12,fell,13:26:05
54,-3.467,11,fell,13:26:10
55,-3.6,13,fell,13:26:16
56,-3.7286,13,fell,13:26:23
57,-3.8443,13,fell,13:26:29
58,-3.663,13,fell,13:26:35
59,-3.7481,13,fell,13:26:41
60,-3.5063,12,fell,13:26:47
