update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.027389,11.944589,2.111161,0.000255,0.042727
2,-0.024029,7.355376,2.073839,0.000254,0.042461
3,-0.02323,9.600882,2.002349,0.000252,0.042188
4,-0.020041,9.580935,1.997741,0.00025,0.041901
5,-0.017194,8.003174,1.99266,0.000249,0.041614
6,-0.022898,7.543137,1.979208,0.000247,0.041334
7,-0.015658,6.057361,2.028439,0.000245,0.041047
8,-0.018352,6.221355,1.926339,0.000243,0.04076
9,-0.017625,5.114353,1.910364,0.000242,0.040452
10,-0.01611,5.164309,1.882613,0.00024,0.040151
11,-0.026288,5.036973,1.811161,0.000238,0.039843
