update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.003051,0.911001,1.012714,0.000105,0.018192
2,-0.004081,1.334813,0.990635,0.000103,0.017863
3,-0.005643,1.396574,0.995141,0.000101,0.017541
4,-0.003632,1.262602,0.995201,9.9e-05,0.017219
5,-0.005252,0.942966,1.007537,9.7e-05,0.016904
6,-0.005548,1.113955,0.997213,9.5e-05,0.016582
7,-0.002408,0.928989,0.985168,9.3e-05,0.016267
8,-0.004795,1.185308,0.952096,9.2e-05,0.015945
9,-0.006387,1.166613,0.979623,9e-05,0.015623
10,-0.005023,1.367624,0.975004,8.8e-05,0.015294
11,-0.001633,1.096209,0.978229,8.6e-05,0.014972
12,-0.00403,0.791999,1.004741,8.4e-05,0.014657
13,-0.002433,0.977552,1.005771,8.2e-05,0.014335
14,-0.003057,0.783354,0.999655,8e-05,0.01402
15,-0.000707,1.205106,0.943149,7.8e-05,0.013698
16,-0.004597,1.31578,0.974863,7.6e-05,0.013376
17,-0.001252,0.762977,1.015454,7.4e-05,0.013068
18,-0.009474,1.212334,0.972367,7.2e-05,0.012746
19,-0.000958,1.056271,0.960637,7e-05,0.012424
20,-0.002953,1.259531,0.967661,6.8e-05,0.012102
21,-0.002052,1.206025,0.968897,6.6e-05,0.01178
22,-0.002463,0.893161,0.971037,6.4e-05,0.011458
23,-0.000861,1.360444,0.93772,6.2e-05,0.011136
24,-0.002167,1.378827,0.921434,6e-05,0.010814
25,-0.004703,1.171781,0.938984,5.8e-05,0.010478
26,-0.001581,1.171724,0.944725,5.6e-05,0.010163
27,-0.001752,0.917443,0.992722,5.4e-05,0.009841
