update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.001701,1.366713,1.007907,0.000103,0.017842
2,-0.00229,0.821521,1.036013,0.000101,0.01752
3,-0.003735,1.519083,1.024456,9.9e-05,0.017191
4,-0.00135,1.226945,1.038144,9.7e-05,0.016876
5,-0.003353,1.233066,1.013675,9.5e-05,0.016547
6,-0.000891,1.058027,1.015659,9.3e-05,0.016232
7,-0.004519,0.900255,1.057998,9.1e-05,0.015917
8,-0.002123,1.476131,1.061574,8.9e-05,0.015588
9,-0.007728,0.897867,1.068673,8.7e-05,0.015273
10,-0.006788,0.842433,1.053732,8.5e-05,0.014958
11,-0.003811,1.235949,1.035484,8.3e-05,0.014636
12,-0.004711,1.25963,1.054405,8.2e-05,0.014314
13,-0.004736,1.653368,1.042795,8e-05,0.013992
14,-0.005598,1.138658,1.04878,7.8e-05,0.01367
15,-0.002722,1.138209,1.024973,7.6e-05,0.013348
16,-0.002745,1.191626,1.023176,7.4e-05,0.013026
17,-0.002987,1.219646,0.984996,7.2e-05,0.012704
18,-0.000672,1.296888,0.99497,7e-05,0.012382
19,-0.003369,1.600215,0.994219,6.8e-05,0.012053
20,-0.003081,1.183298,0.984451,6.6e-05,0.011731
21,-0.001381,1.606337,0.955683,6.4e-05,0.011395
22,-0.003044,1.1178,0.986554,6.2e-05,0.011073
23,-0.002614,1.55553,1.000534,6e-05,0.010737
24,-0.002627,1.296686,0.999426,5.8e-05,0.010415
25,-0.002965,1.136199,0.992075,5.6e-05,0.010107
26,-0.003613,1.355583,0.95335,5.4e-05,0.009778
27,-0.001116,1.221336,0.949878,5.2e-05,0.009456
28,-0.002628,1.239646,0.971972,5e-05,0.009127
29,-0.000488,1.265512,0.943576,4.8e-05,0.008805
30,-0.001893,1.428625,0.955459,4.6e-05,0.008476
31,-0.000602,1.184687,0.948944,4.4e-05,0.008154
32,-0.001983,1.03015,0.957604,4.2e-05,0.007839
33,-0.0021,1.512993,0.928691,4e-05,0.007503
34,-0.000289,1.059738,0.934943,3.8e-05,0.007188
35,-0.004383,1.119431,0.956269,3.6e-05,0.006873
36,-0.000808,1.396905,0.945895,3.4e-05,0.006544
37,-0.000916,1.303277,0.950177,3.2e-05,0.006222
38,-0.00239,0.854313,0.96749,3e-05,0.0059
39,-0.001501,1.224245,0.944065,2.8e-05,0.005578
40,-0.001424,1.029866,0.993983,2.6e-05,0.005263
