episode,reward,steps,outcome,env,timestamp
774,-0.7326,17,fell,one_block_gap,13:21:02
775,-3.2565,21,fell,one_block_gap,13:21:08
776,-1.8675,13,fell,one_block_gap,13:21:13
777,-3.7106,10,fell,one_block_gap,13:21:18
778,-1.0656,10,fell,one_block_gap,13:21:23
779,-3.0131,12,fell,one_block_gap,13:21:27
780,-2.1817,9,fell,one_block_gap,13:21:33
781,-3.5055,11,fell,one_block_gap,13:21:37
782,-4.1132,7,fell,one_block_gap,13:21:41
783,-3.6906,9,fell,one_block_gap,13:21:45
784,-3.008,13,fell,one_block_gap,13:21:51
785,-3.0457,12,fell,one_block_gap,13:21:55
786,-2.8809,11,fell,one_block_gap,13:22:01
787,-3.184,12,fell,one_block_gap,13:22:05
788,-0.4969,13,fell,one_block_gap,13:22:11
789,11.4652,17,landed,one_block_gap,13:22:16
790,-1.5979,12,fell,one_block_gap,13:22:24
791,-3.1192,15,fell,one_block_gap,13:22:29
792,-3.0224,13,fell,one_block_gap,13:22:36
793,-3.4128,15,fell,one_block_gap,13:22:42
794,-3.6402,9,fell,one_block_gap,13:22:46
795,11.9858,17,landed,one_block_gap,13:22:53
796,-3.591,17,fell,one_block_gap,13:23:02
797,-2.9901,10,fell,one_block_gap,13:23:07
798,-3.5509,20,fell,one_block_gap,13:23:14
799,-3.3306,14,fell,one_block_gap,13:23:20
800,-2.8695,10,fell,one_block_gap,13:23:25
801,-3.7295,20,fell,one_block_gap,13:23:34
802,-3.0484,16,fell,one_block_gap,13:23:38
803,-1.7956,14,fell,one_block_gap,13:23:44
804,-2.4694,17,fell,one_block_gap,13:23:51
805,-2.8289,11,fell,one_block_gap,13:23:57
806,-3.7115,8,fell,one_block_gap,13:24:02
807,-3.0845,14,fell,one_block_gap,13:24:08
808,-3.1301,16,fell,one_block_gap,13:24:13
809,-1.0256,13,fell,one_block_gap,13:24:19
810,-2.9618,16,fell,one_block_gap,13:24:24
811,-3.1495,10,fell,one_block_gap,13:24:30
812,-3.008,13,fell,one_block_gap,13:24:38
813,11.9288,15,landed,one_block_gap,13:24:44
814,-3.1673,12,fell,one_block_gap,13:24:51
815,-3.3458,11,fell,one_block_gap,13:24:57
816,-2.9933,14,fell,one_block_gap,13:25:03
817,11.5258,17,landed,one_block_gap,13:25:10
818,-0.996,13,fell,one_block_gap,13:25:18
819,-3.4148,13,fell,one_block_gap,13:25:25
820,-3.5327,11,fell,one_block_gap,13:25:30
821,-3.81,9,fell,one_block_gap,13:25:35
822,-3.0093,10,fell,one_block_gap,13:25:38
823,11.8594,10,landed,one_block_gap,13:25:44
824,-3.5766,11,fell,one_block_gap,13:25:55
825,-3.1366,10,fell,one_block_gap,13:26:00
826,-3.0785,14,fell,one_block_gap,13:26:05
827,11.9144,13,landed,one_block_gap,13:26:12
828,11.5595,15,landed,one_block_gap,13:26:22
829,-1.0897,13,fell,one_block_gap,13:26:27
830,-3.8121,9,fell,one_block_gap,13:26:34
831,-3.2388,15,fell,one_block_gap,13:26:38
832,-3.9034,10,fell,one_block_gap,13:26:43
833,-2.8794,14,fell,one_block_gap,13:26:48
834,-3.4395,14,fell,one_block_gap,13:26:55
835,-4.0393,20,fell,one_block_gap,13:27:02
836,-1.7677,13,fell,one_block_gap,13:27:07
837,-0.587,11,fell,one_block_gap,13:27:13
838,-2.3234,11,fell,one_block_gap,13:27:18
839,-3.239,15,fell,one_block_gap,13:27:26
840,-3.038,16,fell,one_block_gap,13:27:31
841,-2.4366,12,fell,one_block_gap,13:27:38
842,11.8689,15,landed,one_block_gap,13:27:44
843,-3.1167,14,fell,one_block_gap,13:27:53
844,-3.5101,8,fell,one_block_gap,13:27:58
845,-2.5381,13,fell,one_block_gap,13:28:04
846,-3.2049,15,fell,one_block_gap,13:28:08
847,-3.2185,17,fell,one_block_gap,13:28:16
848,-3.4369,23,fell,one_block_gap,13:28:21
849,-3.0892,12,fell,one_block_gap,13:28:27
850,-3.5278,13,fell,one_block_gap,13:28:35
851,-3.5502,12,fell,one_block_gap,13:28:39
852,-3.3535,16,fell,one_block_gap,13:28:47
853,11.8846,15,landed,one_block_gap,13:28:51
854,-3.2183,13,fell,one_block_gap,13:29:02
855,-3.3387,11,fell,one_block_gap,13:29:06
856,-0.5771,12,fell,one_block_gap,13:29:12
857,-3.3597,12,fell,one_block_gap,13:29:16
858,-4.4181,7,fell,one_block_gap,13:29:21
859,11.8293,17,landed,one_block_gap,13:29:28
860,-3.9244,11,fell,one_block_gap,13:29:35
861,-0.5503,10,fell,one_block_gap,13:29:40
862,-3.3375,17,fell,one_block_gap,13:29:46
863,-3.2827,16,fell,one_block_gap,13:29:53
864,-1.0183,13,fell,one_block_gap,13:29:58
865,11.5963,15,landed,one_block_gap,13:30:05
866,-2.401,14,fell,one_block_gap,13:30:11
867,-3.1661,15,fell,one_block_gap,13:30:19
868,-3.0868,13,fell,one_block_gap,13:30:23
869,-0.53,10,fell,one_block_gap,13:30:28
870,-3.2419,15,fell,one_block_gap,13:30:34
871,-4.1619,7,fell,one_block_gap,13:30:38
872,-3.1266,9,fell,one_block_gap,13:30:43
873,-3.2724,14,fell,one_block_gap,13:30:48
874,-3.2437,15,fell,one_block_gap,13:30:55
875,-3.3332,12,fell,one_block_gap,13:31:00
876,-0.8309,10,fell,one_block_gap,13:31:05
877,-3.1456,15,fell,one_block_gap,13:31:10
878,-3.2547,12,fell,one_block_gap,13:31:17
879,-2.861,12,fell,one_block_gap,13:31:22
880,-3.0197,12,fell,one_block_gap,13:31:28
881,-1.6079,13,fell,one_block_gap,13:31:34
882,-3.133,18,fell,one_block_gap,13:31:42
883,-3.1662,17,fell,one_block_gap,13:31:47
884,-4.5479,5,fell,one_block_gap,13:31:51
885,-3.0093,10,fell,one_block_gap,13:31:56
886,-2.363,17,fell,one_block_gap,13:32:02
887,-0.5654,11,fell,one_block_gap,13:32:07
888,11.5631,12,landed,one_block_gap,13:32:15
889,-3.1995,15,fell,one_block_gap,13:32:27
890,-3.8929,10,fell,one_block_gap,13:32:34
891,-3.1278,15,fell,one_block_gap,13:32:39
892,-3.1111,14,fell,one_block_gap,13:32:46
893,11.9575,18,landed,one_block_gap,13:32:52
894,-1.727,15,fell,one_block_gap,13:33:01
895,-3.8097,13,fell,one_block_gap,13:33:07
896,-3.4974,13,fell,one_block_gap,13:33:13
897,-4.3702,12,fell,one_block_gap,13:33:20
898,-3.2553,18,fell,one_block_gap,13:33:24
899,-0.5744,10,fell,one_block_gap,13:33:29
900,-3.7352,11,fell,one_block_gap,13:33:34
901,-3.4017,14,fell,one_block_gap,13:33:40
902,-3.0099,14,fell,one_block_gap,13:33:44
