update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.027167,2.824889,2.7009,0.000298,0.049706
2,-0.018321,2.79231,2.690518,0.000296,0.049412
3,-0.030406,1.635651,2.665076,0.000295,0.049125
4,-0.0253,1.113537,2.646485,0.000293,0.048901
5,-0.023406,2.672857,2.614955,0.000292,0.048656
6,-0.037905,0.551673,2.577396,0.00029,0.048418
7,-0.024757,1.137603,2.559451,0.000289,0.048159
8,-0.023436,1.815009,2.513792,0.000287,0.047928
9,-0.021714,1.059386,2.496277,0.000286,0.047697
10,-0.026097,0.964664,2.42827,0.000284,0.047431
11,-0.020799,1.765689,2.397291,0.000283,0.047186
12,-0.022922,2.299109,2.336217,0.000281,0.046941
13,-0.019807,5.167699,2.302847,0.00028,0.046689
14,-0.025016,1.325725,2.254894,0.000278,0.046423
15,-0.022527,2.296629,2.248363,0.000276,0.046157
16,-0.02282,1.524117,2.24644,0.000275,0.045891
17,-0.02208,2.797404,2.226566,0.000273,0.045604
18,-0.02214,4.518855,2.156145,0.000271,0.045317
19,-0.015161,4.167598,2.164643,0.00027,0.045023
20,-0.02242,3.584225,2.143979,0.000268,0.044729
