update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.007181,3.033571,0.873041,0.000114,0.019631
2,-0.020927,0.322963,1.627447,0.000113,0.019386
3,-0.017635,0.887382,1.706755,0.000111,0.019145
4,-0.017291,0.377975,1.767632,0.00011,0.0189
5,-0.017929,0.839523,1.840661,0.000108,0.018648
6,-0.024441,1.601217,1.789988,0.000107,0.018421
7,-0.012903,1.596856,1.644958,0.000105,0.018218
8,-0.024841,3.834131,1.545227,0.000104,0.018007
9,-0.017531,4.200663,1.343292,0.000103,0.017807
10,-0.013601,4.489588,1.209161,0.000102,0.017615
