episode,reward,steps,outcome,env,timestamp
1,-1.0305,93,fell,bridging,16:43:50
2,-3.86,44,fell,bridging,16:44:01
3,-3.7919,61,fell,bridging,16:44:16
4,-3.2857,64,fell,bridging,16:44:31
5,-3.66,34,fell,bridging,16:44:40
6,-5.3958,23,fell,bridging,16:44:48
7,-0.7924,126,fell,bridging,16:45:14
8,0.26,38,fell,bridging,16:45:24
9,-1.9184,39,fell,bridging,16:45:35
10,-3.5577,56,fell,bridging,16:45:49
11,-3.34,23,fell,bridging,16:45:57
12,-3.54,28,fell,bridging,16:46:05
13,-3.4642,14,fell,bridging,16:46:12
14,-3.2,11,fell,bridging,16:46:18
15,0.2744,63,fell,bridging,16:46:33
16,-5.2057,34,fell,bridging,16:46:43
17,-5.2,11,fell,bridging,16:46:49
18,-2.1767,76,fell,bridging,16:47:06
19,-3.4607,29,fell,bridging,16:47:15
20,5.5513,110,fell,bridging,16:47:38
21,-2.82,197,fell,bridging,16:48:17
22,5.2211,123,fell,bridging,16:48:43
23,-3.7677,24,fell,bridging,16:48:51
24,-3.84,43,fell,bridging,16:49:02
25,-2.9215,26,fell,bridging,16:49:11
26,-3.68,40,fell,bridging,16:49:22
27,3.7557,32,fell,bridging,16:49:31
28,6.62,79,fell,bridging,16:49:49
29,-5.48,25,fell,bridging,16:49:57
30,-3.8572,13,fell,bridging,16:50:03
31,-4.8914,34,fell,bridging,16:50:14
32,0.0065,35,fell,bridging,16:50:24
33,-0.2989,56,fell,bridging,16:50:37
34,1.3881,104,fell,bridging,16:51:00
35,-1.9927,181,fell,bridging,16:51:35
36,-4.907,37,fell,bridging,16:51:45
37,-5.4123,49,fell,bridging,16:52:00
38,-1.82,47,fell,bridging,16:52:12
39,-3.66,34,fell,bridging,16:52:22
40,2.26,43,fell,bridging,16:52:34
41,-1.64,38,fell,bridging,16:52:44
42,-0.9819,102,fell,bridging,16:53:06
43,-3.6065,14,fell,bridging,16:53:12
44,-3.54,28,fell,bridging,16:53:21
45,-3.56,34,fell,bridging,16:53:31
46,-3.54,33,fell,bridging,16:53:41
47,2.4,31,fell,bridging,16:53:50
48,0.2598,43,fell,bridging,16:54:02
49,-0.904,212,fell,bridging,16:54:43
50,-5.56,29,fell,bridging,16:54:52
51,-5.34,18,fell,bridging,16:54:59
52,1.1688,79,fell,bridging,16:55:17
53,-3.8668,20,fell,bridging,16:55:24
