update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.023843,3.903173,2.476424,0.000299,0.049825
2,-0.016242,2.939193,2.467457,0.000298,0.049629
3,-0.021996,1.31321,2.4415,0.000297,0.049447
4,-0.027528,0.835497,2.435359,0.000295,0.049244
5,-0.028567,0.838592,2.403608,0.000294,0.049062
6,-0.020473,0.813548,2.372867,0.000293,0.048873
7,-0.022818,3.669263,2.330767,0.000292,0.048677
8,-0.026117,4.152699,2.308601,0.000291,0.048488
9,-0.019276,4.400931,2.260562,0.00029,0.048292
10,-0.020017,5.011098,2.216482,0.000288,0.048089
11,-0.019236,3.869429,2.184225,0.000287,0.047872
12,-0.018545,6.899968,2.157657,0.000286,0.047662
13,-0.018693,4.642036,2.123813,0.000284,0.047445
14,-0.016726,6.233795,2.092866,0.000283,0.047214
15,-0.011812,8.569377,2.056117,0.000281,0.046976
