episode,reward,steps,outcome,env,timestamp
1,-5.1269,11,fell,one_block_gap,03:35:14
2,-0.9287,39,fell,one_block_gap,03:35:25
3,-3.3237,17,fell,one_block_gap,03:35:32
4,-3.2975,17,fell,one_block_gap,03:35:39
5,-5.9857,14,fell,one_block_gap,03:35:45
6,-3.9127,21,fell,one_block_gap,03:35:52
7,-4.0529,25,fell,one_block_gap,03:36:00
8,-4.568,10,fell,one_block_gap,03:36:06
9,-4.0003,31,fell,one_block_gap,03:36:16
10,-4.5539,18,fell,one_block_gap,03:36:23
11,-5.0311,29,fell,one_block_gap,03:36:31
12,-5.2448,8,fell,one_block_gap,03:36:37
13,-5.0914,5,fell,one_block_gap,03:36:41
14,-3.8669,9,fell,one_block_gap,03:36:47
15,-2.4093,23,fell,one_block_gap,03:36:55
16,-5.3171,39,fell,one_block_gap,03:37:06
17,-5.24,14,fell,one_block_gap,03:37:12
18,-4.402,29,fell,one_block_gap,03:37:21
19,-3.8413,45,fell,one_block_gap,03:37:33
20,-1.3133,24,fell,one_block_gap,03:37:41
21,-4.7834,8,fell,one_block_gap,03:37:46
22,-4.4126,12,fell,one_block_gap,03:37:52
23,-4.7732,18,fell,one_block_gap,03:37:59
24,12.2246,22,landed,one_block_gap,03:38:07
25,-5.0984,11,fell,one_block_gap,03:38:21
26,-3.9844,14,fell,one_block_gap,03:38:29
27,-5.1657,14,fell,one_block_gap,03:38:34
28,-3.2823,20,fell,one_block_gap,03:38:41
29,-3.5565,21,fell,one_block_gap,03:38:49
30,-3.8919,18,fell,one_block_gap,03:38:56
31,-5.3959,39,fell,one_block_gap,03:39:06
32,-4.2818,14,fell,one_block_gap,03:39:13
33,-0.7375,32,fell,one_block_gap,03:39:22
34,-4.7133,9,fell,one_block_gap,03:39:27
35,-5.6444,11,fell,one_block_gap,03:39:33
36,-3.9815,20,fell,one_block_gap,03:39:41
37,-2.0583,17,fell,one_block_gap,03:39:47
38,-3.747,18,fell,one_block_gap,03:39:55
39,-4.7477,17,fell,one_block_gap,03:40:01
40,-5.569,18,fell,one_block_gap,03:40:09
41,-4.7318,8,fell,one_block_gap,03:40:14
42,-3.8131,11,fell,one_block_gap,03:40:20
43,-2.6962,19,fell,one_block_gap,03:40:27
44,-3.0934,15,fell,one_block_gap,03:40:34
45,-4.4662,19,fell,one_block_gap,03:40:41
46,12.1028,15,landed,one_block_gap,03:40:47
47,-5.4193,21,fell,one_block_gap,03:40:56
48,-4.9986,6,fell,one_block_gap,03:41:01
49,-2.559,19,fell,one_block_gap,03:41:08
50,-3.0334,27,fell,one_block_gap,03:41:17
51,-4.7229,33,fell,one_block_gap,03:41:26
52,-3.4422,16,fell,one_block_gap,03:41:33
53,-4.5125,14,fell,one_block_gap,03:41:39
54,-4.2287,21,fell,one_block_gap,03:41:49
55,-4.3758,16,fell,one_block_gap,03:41:54
56,-1.5214,19,fell,one_block_gap,03:42:01
57,-3.6379,29,fell,one_block_gap,03:42:10
58,-4.6603,30,fell,one_block_gap,03:42:19
