episode,reward,steps,outcome,timestamp
1,-5.2,21,fell,01:47:29
2,-5.0,1,fell,01:47:30
3,-5.0,1,fell,01:47:30
4,-5.0,1,fell,01:47:31
5,-5.0,1,fell,01:47:31
6,-5.0,1,fell,01:47:31
7,-5.0,1,fell,01:47:32
8,-5.0,1,fell,01:47:32
9,-5.0,1,fell,01:47:33
10,-5.0,1,fell,01:47:33
11,-5.0,1,fell,01:47:34
12,-5.0,1,fell,01:47:34
13,-5.0,1,fell,01:47:34
14,-5.0,1,fell,01:47:35
15,-5.0,1,fell,01:47:35
16,-5.0,1,fell,01:47:36
17,-5.0,1,fell,01:47:36
18,-5.0,1,fell,01:47:37
19,-5.0,1,fell,01:47:37
20,-5.0,1,fell,01:47:38
21,-5.0,1,fell,01:47:38
22,-5.0,1,fell,01:47:38
23,-5.0,1,fell,01:47:39
24,-5.0,1,fell,01:47:39
25,-5.0,1,fell,01:47:40
26,-5.0,1,fell,01:47:40
27,-5.0,1,fell,01:47:41
28,-5.0,1,fell,01:47:41
29,-5.0,1,fell,01:47:41
30,-5.0,1,fell,01:47:42
31,-5.0,1,fell,01:47:42
32,-5.0,1,fell,01:47:43
33,-5.0,1,fell,01:47:43
34,-5.0,1,fell,01:47:44
35,-5.0,1,fell,01:47:44
36,-5.0,1,fell,01:47:44
37,-5.0,1,fell,01:47:45
38,-5.0,1,fell,01:47:45
39,-5.0,1,fell,01:47:46
40,-5.0,1,fell,01:47:46
41,-5.0,1,fell,01:47:47
42,-5.0,1,fell,01:47:47
43,-5.0,1,fell,01:47:48
44,-5.0,1,fell,01:47:48
45,-5.0,1,fell,01:47:48
46,-5.0,1,fell,01:47:49
47,-5.0,1,fell,01:47:49
48,-5.0,1,fell,01:47:50
49,-5.0,1,fell,01:47:50
50,-5.0,1,fell,01:47:51
51,-5.0,1,fell,01:47:51
52,-5.0,1,fell,01:47:51
53,-5.0,1,fell,01:47:52
54,-5.0,1,fell,01:47:52
55,-5.0,1,fell,01:47:53
56,-5.0,1,fell,01:47:53
57,-5.0,1,fell,01:47:54
58,-5.0,1,fell,01:47:54
59,-0.01,1,mission_ended,01:47:57
60,-0.01,1,mission_ended,01:48:04
61,-0.01,1,mission_ended,01:48:10
62,-0.01,1,mission_ended,01:48:17
