update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.008356,3.506043,1.206472,0.0001,0.017328
2,-0.016515,4.861116,0.981827,9.9e-05,0.017136
3,-0.015302,4.660938,0.880916,9.8e-05,0.016936
4,-0.009744,4.325281,0.849455,9.6e-05,0.01674
5,-0.016744,4.194441,0.97711,9.5e-05,0.016563
6,-0.014167,3.933022,1.077973,9.4e-05,0.016394
7,-0.011891,3.98941,0.970065,9.3e-05,0.016209
8,-0.007793,4.466097,0.969663,9.2e-05,0.016047
9,-0.010478,4.0932,0.956026,9.1e-05,0.015866
10,-0.011989,3.702251,0.882961,9e-05,0.015689
11,-0.009518,4.02585,0.831814,8.9e-05,0.015519
12,-0.009951,3.485664,0.817203,8.8e-05,0.015349
13,-0.007186,3.53167,0.728472,8.7e-05,0.015187
14,-0.013318,3.312155,0.876558,8.6e-05,0.015018
