episode,reward,steps,outcome,timestamp
1,-5.1043,11,fell,03:22:10
2,-5.042,24,fell,03:22:19
3,-5.2226,20,fell,03:22:27
4,-5.0893,9,fell,03:22:33
5,-5.0428,6,fell,03:22:37
6,-5.2627,16,fell,03:22:44
7,-5.38,34,fell,03:22:54
8,-5.0381,13,fell,03:23:00
9,-4.8012,9,fell,03:23:05
10,-4.938,14,fell,03:23:12
11,-5.0059,15,fell,03:23:19
12,-5.2645,26,fell,03:23:27
13,-5.0489,6,fell,03:23:32
14,-5.0128,7,fell,03:23:37
15,-5.0756,8,fell,03:23:43
16,-5.1951,18,fell,03:23:50
17,-4.9791,40,fell,03:24:01
18,-5.1065,28,fell,03:24:09
19,-5.2843,16,fell,03:24:16
20,-5.1028,13,fell,03:24:23
21,-5.119,13,fell,03:24:29
22,-5.0712,24,fell,03:24:37
23,-5.0106,40,fell,03:24:48
24,-5.05,6,fell,03:24:53
25,-4.8337,23,fell,03:25:01
26,-4.9644,26,fell,03:25:09
27,-4.9658,10,fell,03:25:15
