episode,reward,steps,outcome,timestamp
1,-5.3762,8,fell,10:00:12
2,-8.4795,32,fell,10:00:22
3,-6.1779,28,fell,10:00:30
4,-5.663,11,fell,10:00:36
5,-7.2907,26,fell,10:00:45
6,-5.4015,9,fell,10:00:50
7,-7.7,49,fell,10:01:03
8,-7.7173,25,fell,10:01:11
9,-5.4671,14,fell,10:01:17
10,-6.9392,25,fell,10:01:25
11,-6.6199,14,fell,10:01:31
12,-5.5199,8,fell,10:01:37
13,-4.9546,16,fell,10:01:43
14,-7.8831,23,fell,10:01:51
15,-5.5728,16,fell,10:01:58
16,-6.7571,22,fell,10:02:05
17,-7.8422,25,fell,10:02:14
18,-5.3364,18,fell,10:02:21
19,-5.7049,11,fell,10:02:27
20,-5.5166,9,fell,10:02:32
21,-4.6004,23,fell,10:02:40
22,-6.7699,39,fell,10:02:51
23,-8.6586,50,fell,10:03:03
24,-7.7244,22,fell,10:03:12
25,-5.5518,17,fell,10:03:19
26,-7.1381,25,fell,10:03:27
27,-5.4394,10,fell,10:03:33
28,-5.4,5,fell,10:03:38
29,-5.1275,6,fell,10:03:43
30,-5.5258,39,fell,10:03:53
