update,policy_loss,value_loss,entropy,lr,entropy_coef
1,-0.011791,1.34764,1.691434,0.000139,0.02374
2,-0.016659,2.334985,1.697987,0.000138,0.023491
3,-0.010807,3.679461,1.689373,0.000136,0.023261
4,-0.014041,3.48311,1.611346,0.000135,0.023027
5,-0.013726,3.037496,1.592579,0.000133,0.022797
6,-0.013573,3.957376,1.59754,0.000132,0.022586
7,-0.01672,3.82742,1.537344,0.000131,0.022364
8,-0.009645,4.48901,1.482418,0.000129,0.022145
9,-0.012912,4.215533,1.485633,0.000128,0.021915
10,-0.013027,3.710525,1.44138,0.000127,0.021704
11,-0.013464,3.734607,1.341764,0.000125,0.021478
12,-0.012663,3.622108,1.249999,0.000124,0.021256
13,-0.017408,4.094998,1.16044,0.000123,0.021033
14,-0.006659,4.2732,1.05647,0.000121,0.02083
15,-0.010114,4.052397,1.037954,0.00012,0.020619
16,-0.007397,3.739847,0.963536,0.000119,0.0204
17,-0.006881,3.458699,0.902518,0.000117,0.020174
18,-0.006178,3.666135,0.78777,0.000116,0.019978
19,-0.005516,3.407507,0.761556,0.000115,0.019756
