episode,reward,steps,outcome,timestamp
1,-5.262,23,fell,19:47:12
2,-5.0318,7,fell,19:47:18
3,-4.9146,10,fell,19:47:23
4,-5.0193,22,fell,19:47:31
5,-4.9003,14,fell,19:47:37
6,-4.967,9,fell,19:47:43
7,-5.1407,12,fell,19:47:49
8,-5.0098,9,fell,19:47:54
9,-5.1056,9,fell,19:48:00
10,-4.9463,24,fell,19:48:08
11,-4.9814,37,fell,19:48:18
12,-5.012,17,fell,19:48:25
13,-5.2313,18,fell,19:48:32
14,-4.9652,19,fell,19:48:40
15,-4.8543,25,fell,19:48:48
16,-5.4179,29,fell,19:48:57
17,-5.0253,8,fell,19:49:02
18,-5.1985,22,fell,19:49:10
19,-4.949,26,fell,19:49:18
20,-5.0071,7,fell,19:49:24
21,-4.8123,13,fell,19:49:30
22,-5.204,24,fell,19:49:38
23,-4.9705,14,fell,19:49:44
24,-4.9596,39,fell,19:49:55
25,-4.9806,23,fell,19:50:03
26,-5.187,19,fell,19:50:10
27,-5.0169,19,fell,19:50:18
28,-5.1392,14,fell,19:50:24
29,-4.9949,8,fell,19:50:31
30,-5.0118,17,fell,19:50:38
31,-4.9698,17,fell,19:50:45
32,-5.0975,10,fell,19:50:50
33,-5.0379,18,fell,19:50:58
34,-5.0554,22,fell,19:51:05
35,-5.1387,24,fell,19:51:13
36,-5.1388,28,fell,19:51:22
37,-5.1262,12,fell,19:51:28
38,-5.2034,20,fell,19:51:36
39,-4.7395,16,fell,19:51:43
40,-5.2706,16,fell,19:51:49
41,-5.0248,8,fell,19:51:55
