episode,reward,steps,outcome,timestamp
1,-5.5377,7,mission_ended,17:13:12
2,-6.6702,16,fell,17:13:17
3,-4.4883,17,fell,17:13:24
4,-6.0097,14,fell,17:13:30
5,-5.5206,11,fell,17:13:38
6,-6.4361,20,mission_ended,17:13:43
7,-5.5513,9,fell,17:13:47
8,-5.3868,10,fell,17:13:54
9,-4.9741,5,fell,17:13:59
10,-6.6893,15,mission_ended,17:14:05
11,-5.6286,7,fell,17:14:07
12,-5.6823,10,fell,17:14:12
13,-6.2914,15,fell,17:14:18
14,-6.6425,19,fell,17:14:28
15,-7.1501,26,mission_ended,17:14:32
16,-5.2993,7,fell,17:14:36
17,-5.0647,5,fell,17:14:42
18,-5.4963,6,fell,17:14:48
19,-6.1992,18,mission_ended,17:14:52
20,-5.4,5,fell,17:14:55
21,-5.5535,13,fell,17:15:04
22,-5.9795,22,mission_ended,17:15:09
23,-5.4711,13,fell,17:15:15
24,-5.1479,10,fell,17:15:23
25,-5.4681,19,mission_ended,17:15:27
26,-5.6517,7,fell,17:15:31
27,-6.3614,24,fell,17:15:43
28,-6.3525,31,mission_ended,17:15:47
29,-5.114,6,fell,17:15:51
30,-5.5,6,fell,17:15:57
31,-7.2007,15,mission_ended,17:16:02
32,-6.5258,9,fell,17:16:06
33,-5.3098,7,fell,17:16:13
34,-5.2827,19,fell,17:16:17
35,-5.7919,11,fell,17:16:22
36,-5.701,14,fell,17:16:28
37,-8.1387,29,mission_ended,17:16:41
38,-5.4,5,fell,17:16:45
39,-7.1919,31,mission_ended,17:16:49
40,-4.7566,10,fell,17:16:54
41,-5.4834,15,fell,17:17:00
42,-5.4,5,fell,17:17:05
43,-6.1358,18,fell,17:17:11
44,-6.4755,21,fell,17:17:18
45,-5.7497,18,fell,17:17:24
46,-5.2286,23,fell,17:17:34
47,-6.1462,18,fell,17:17:38
48,-5.7245,13,fell,17:17:44
49,-4.5,15,fell,17:17:48
50,-4.8176,15,fell,17:17:56
51,-7.6397,26,mission_ended,17:18:03
52,-5.5694,27,fell,17:18:10
53,-6.1126,15,fell,17:18:19
54,-6.2518,33,mission_ended,17:18:23
55,-5.1436,9,fell,17:18:28
56,-5.1299,6,fell,17:18:34
57,-5.7966,22,mission_ended,17:18:40
58,-6.3665,20,fell,17:18:46
59,-5.3793,13,fell,17:18:50
60,-5.8998,7,fell,17:18:54
61,-5.6978,21,fell,17:19:03
62,-6.0408,16,fell,17:19:07
63,-5.4765,7,fell,17:19:12
64,-5.8501,12,fell,17:19:17
65,-6.6251,19,fell,17:19:25
66,-6.1835,21,fell,17:19:31
67,-5.3282,11,fell,17:19:37
68,-7.043,31,mission_ended,17:19:50
69,-6.9849,33,fell,17:19:54
70,-5.4554,12,fell,17:20:01
71,-7.1656,25,mission_ended,17:20:06
72,-5.5597,9,fell,17:20:09
73,-5.0125,12,fell,17:20:17
74,-5.9982,22,mission_ended,17:20:26
75,-5.7992,10,fell,17:20:29
76,-5.3253,17,fell,17:20:39
77,-6.1494,22,mission_ended,17:20:43
