episode,reward,steps,outcome,timestamp
1,-3.6,13,fell,13:11:52
2,-3.8122,14,fell,13:12:00
3,-3.6,13,fell,13:12:06
4,-3.5,12,fell,13:12:12
5,-3.7,14,fell,13:12:18
6,-3.7245,12,fell,13:12:24
7,-4.5861,14,fell,13:12:30
8,-3.7,14,fell,13:12:36
9,-3.6,13,fell,13:12:43
10,-3.7,14,fell,13:12:49
11,11.6632,14,landed,13:12:55
12,-3.6,13,fell,13:13:26
13,11.5334,15,landed,13:13:33
14,11.3853,16,landed,13:14:04
15,-3.6,13,fell,13:14:35
16,-3.6,13,fell,13:14:41
17,11.529,15,landed,13:14:47
18,-3.6,13,fell,13:15:18
19,-3.9451,14,fell,13:15:24
20,-3.6,13,fell,13:15:31
21,-3.6,13,fell,13:15:37
22,-3.6,13,fell,13:15:43
23,-3.8344,13,fell,13:15:49
24,-3.6,13,fell,13:15:56
25,-3.6875,13,fell,13:16:02
26,-3.6,13,fell,13:16:08
27,-3.8,15,fell,13:16:15
28,11.8928,12,landed,13:16:20
29,-3.7073,12,fell,13:16:51
30,11.461,13,landed,13:16:58
31,-3.8906,13,fell,13:17:29
