episode,reward,steps,outcome,env,timestamp
6901,-3.2057,10,fell,simple_jump,20:46:42
6902,-3.0868,10,fell,simple_jump,20:46:47
6903,-4.5393,7,fell,simple_jump,20:46:53
6904,-4.2479,7,fell,simple_jump,20:46:58
6905,-4.3486,7,fell,simple_jump,20:47:03
6906,12.3658,11,landed,simple_jump,20:47:09
6907,-3.105,10,fell,simple_jump,20:47:16
6908,-4.2319,8,fell,simple_jump,20:47:22
6909,-4.1528,6,fell,simple_jump,20:47:27
6910,-4.1528,6,fell,simple_jump,20:47:32
6911,-3.0381,10,fell,simple_jump,20:47:38
6912,-3.9507,9,fell,simple_jump,20:47:44
6913,-4.0413,8,fell,simple_jump,20:47:49
6914,-4.2862,6,fell,simple_jump,20:47:55
6915,-4.1528,6,fell,simple_jump,20:48:00
6916,-4.1528,6,fell,simple_jump,20:48:05
6917,-4.2473,7,fell,simple_jump,20:48:10
6918,-4.5953,7,fell,simple_jump,20:48:15
6919,-4.1528,6,fell,simple_jump,20:48:20
6920,-4.1133,5,fell,simple_jump,20:48:26
6921,-4.2899,6,fell,simple_jump,20:48:31
6922,-4.4566,7,fell,simple_jump,20:48:36
6923,12.5112,11,landed,simple_jump,20:48:42
6924,-4.0394,8,fell,simple_jump,20:48:49
6925,-3.5914,9,fell,simple_jump,20:48:55
6926,-4.4279,6,fell,simple_jump,20:49:01
6927,-4.7164,11,fell,simple_jump,20:49:07
6928,12.9619,12,landed,simple_jump,20:49:14
6929,-4.639,6,fell,simple_jump,20:49:20
6930,-4.315,6,fell,simple_jump,20:49:25
6931,-4.1602,10,fell,simple_jump,20:49:30
6932,-4.5246,6,fell,simple_jump,20:49:36
6933,-3.7851,10,fell,simple_jump,20:49:42
6934,-4.0793,8,fell,simple_jump,20:49:48
6935,-4.7398,8,fell,simple_jump,20:49:54
6936,-4.2399,7,fell,simple_jump,20:50:00
6937,-4.1528,6,fell,simple_jump,20:50:05
6938,-4.2112,6,fell,simple_jump,20:50:10
6939,-4.2722,6,fell,simple_jump,20:50:15
6940,-4.2065,6,fell,simple_jump,20:50:20
6941,-4.5793,7,fell,simple_jump,20:50:26
6942,-4.2214,6,fell,simple_jump,20:50:31
6943,-4.172,9,fell,simple_jump,20:50:37
6944,-4.2486,6,fell,simple_jump,20:50:42
6945,-4.1767,10,fell,simple_jump,20:50:47
6946,-3.6186,9,fell,simple_jump,20:50:53
6947,-4.6702,6,fell,simple_jump,20:50:58
6948,-2.9484,6,fell,simple_jump,20:51:04
6949,-4.1528,6,fell,simple_jump,20:51:09
6950,-4.0969,6,fell,simple_jump,20:51:14
6951,-3.4829,11,fell,simple_jump,20:51:20
6952,-2.4954,13,fell,simple_jump,20:51:27
6953,-4.6702,6,fell,simple_jump,20:51:33
6954,-4.1221,6,fell,simple_jump,20:51:39
6955,-4.1467,7,fell,simple_jump,20:51:44
6956,-4.0793,8,fell,simple_jump,20:51:49
6957,-3.3693,10,fell,simple_jump,20:51:56
6958,-4.2139,6,fell,simple_jump,20:52:01
6959,-4.5629,6,fell,simple_jump,20:52:06
6960,-3.5782,11,fell,simple_jump,20:52:12
6961,-4.4851,6,fell,simple_jump,20:52:18
6962,-2.9569,6,fell,simple_jump,20:52:23
6963,-4.6415,6,fell,simple_jump,20:52:28
6964,-4.0921,6,fell,simple_jump,20:52:33
6965,-3.7818,9,fell,simple_jump,20:52:39
6966,-3.8631,10,fell,simple_jump,20:52:45
6967,-4.1861,6,fell,simple_jump,20:52:50
6968,-4.2904,8,fell,simple_jump,20:52:58
6969,-3.913,6,fell,simple_jump,20:53:02
6970,-4.6702,6,fell,simple_jump,20:53:08
6971,-4.1481,7,fell,simple_jump,20:53:14
6972,-3.0518,6,fell,simple_jump,20:53:19
6973,-4.0459,6,fell,simple_jump,20:53:24
6974,-3.2352,10,fell,simple_jump,20:53:30
6975,-3.0149,7,fell,simple_jump,20:53:35
6976,-4.2607,6,fell,simple_jump,20:53:40
6977,-3.5863,7,fell,simple_jump,20:53:45
6978,-4.5206,7,fell,simple_jump,20:53:50
6979,-4.0087,7,fell,simple_jump,20:53:55
6980,-4.1071,8,fell,simple_jump,20:54:00
6981,-4.2419,6,fell,simple_jump,20:54:06
6982,-3.004,7,fell,simple_jump,20:54:12
6983,-4.5009,8,fell,simple_jump,20:54:17
6984,-4.4461,6,fell,simple_jump,20:54:22
6985,-3.762,9,fell,simple_jump,20:54:27
6986,-4.1221,6,fell,simple_jump,20:54:32
6987,-3.0501,7,fell,simple_jump,20:54:38
6988,-4.5824,7,fell,simple_jump,20:54:43
6989,-4.2131,6,fell,simple_jump,20:54:48
6990,-4.4091,8,fell,simple_jump,20:54:53
6991,-4.486,6,fell,simple_jump,20:54:58
6992,-4.6379,9,fell,simple_jump,20:55:04
6993,-5.0,1,mission_ended,simple_jump,20:55:15
6994,-4.5179,10,fell,simple_jump,20:55:19
6995,-4.1662,7,fell,simple_jump,20:55:24
6996,-4.1827,6,fell,simple_jump,20:55:29
6997,-3.1588,5,fell,simple_jump,20:55:34
6998,-4.5917,7,fell,simple_jump,20:55:40
6999,-4.6592,6,fell,simple_jump,20:55:44
7000,-2.8499,12,fell,simple_jump,20:55:51
7001,-3.1617,8,fell,simple_jump,20:55:58
7002,-4.4569,6,fell,simple_jump,20:56:03
7003,12.6886,13,landed,simple_jump,20:56:09
7004,-4.2679,11,fell,simple_jump,20:56:16
7005,-4.2056,6,fell,simple_jump,20:56:21
7006,-4.6702,6,fell,simple_jump,20:56:26
7007,12.374,11,landed,simple_jump,20:56:32
7008,-4.1528,6,fell,simple_jump,20:56:38
7009,-4.0383,6,fell,simple_jump,20:56:43
