update,policy_loss,value_loss,entropy
1,-0.004353,46.982313,1.060286
2,0.005542,34.770317,1.049847
3,-0.001872,27.168792,1.135306
4,-0.004391,29.630881,1.156976
5,-0.004673,25.025753,1.106511
6,-0.003055,22.274308,1.117656
7,-0.004618,25.307607,1.067125
8,-0.003155,22.128567,1.033899
9,-0.003477,21.389749,1.094115
10,-0.002157,42.550757,1.052559
11,-0.003996,34.658686,1.075958
12,0.002171,26.963646,1.117759
13,-0.004404,35.59784,1.137419
14,-0.00076,33.922877,1.176802
15,-0.000853,35.39124,1.168197
