# env: bridging
# spawn: 0.5,46.0,1.5
# goal: 0.5,46.0,7.5
episode,step,x,y,z,yaw,pitch,on_ground,action,reward,done,outcome,env
0,67,0.2262,46.0,2.0084,254.88,-90.0,0,place_block,-0.005,0,alive,bridging
0,68,0.1759,46.0,2.0212,254.88,-90.0,0,move_backward,-0.0012,0,alive,bridging
0,69,0.0512,46.0,2.0515,263.88,-90.0,0,turn_right,0.0041,0,alive,bridging
0,70,-0.0233,46.0,2.0532,281.88,-90.0,0,turn_right,-0.0045,0,alive,bridging
0,71,-0.0233,46.0,2.0532,281.88,-90.0,0,look_up,-0.005,0,alive,bridging
0,72,-0.0233,46.0,2.0532,281.88,-90.0,0,place_block,-0.005,0,alive,bridging
0,73,-0.0233,46.0,2.0532,281.88,-90.0,0,move_forward,-0.005,0,alive,bridging
0,74,0.0088,46.0,2.0612,281.88,-90.0,0,move_backward,-0.0026,0,alive,bridging
0,75,0.0504,46.0,2.0636,281.88,-90.0,0,move_backward,-0.0043,0,alive,bridging
0,76,-0.1251,46.0,1.9843,281.88,-90.0,0,strafe_left,0.0,0,alive,bridging
0,77,-0.18,46.0,1.9437,281.88,-90.0,0,move_backward,0.0,0,alive,bridging
0,78,-0.2721,46.0,1.9193,281.88,-90.0,0,place_block,0.0,0,alive,bridging
0,79,-0.2954,46.0,1.8779,281.88,-90.0,0,strafe_left,0.0,0,alive,bridging
0,80,-0.298,46.0,1.8372,290.88,-90.0,0,turn_right,0.0,0,alive,bridging
0,81,-0.298,46.0,1.8372,308.88,-90.0,0,move_backward,0.0,0,alive,bridging
0,82,-0.298,46.0,1.755,308.88,-90.0,0,look_up,0.0,0,alive,bridging
0,83,-0.298,46.0,1.755,308.88,-90.0,0,turn_right,0.0,0,alive,bridging
0,84,-0.298,46.0,1.7243,308.88,-90.0,0,move_backward,0.0,0,alive,bridging
0,85,-0.298,46.0,1.6774,308.88,-90.0,0,turn_right,0.0,0,alive,bridging
0,86,-0.298,46.0,1.6447,317.88,-90.0,0,turn_right,0.0,0,alive,bridging
0,87,-0.298,46.0,1.6447,336.06,-90.0,0,move_backward,0.0,0,alive,bridging
0,88,-0.298,46.0,1.5574,345.06,-90.0,0,turn_right,0.0,0,alive,bridging
0,89,-0.298,46.0,1.507,3.06,-90.0,0,look_up,-5.0,1,mission_ended,bridging
1,1,0.5,46.0,1.5,0.0,70.0,0,move_backward,-0.01,0,alive,bridging
1,2,0.5,46.0,1.2185,0.0,80.44,0,look_down,-0.01,0,alive,bridging
1,3,0.5,46.0,0.9996,0.0,90.0,0,sneak_down,-0.01,0,alive,bridging
1,4,0.5,46.0,0.9634,0.0,90.0,0,move_forward,-0.01,0,alive,bridging
1,5,0.5,46.0,1.0028,0.0,90.0,0,turn_right,0.0,0,alive,bridging
1,6,0.5,46.0,1.0881,0.0,90.0,0,no_op,0.0,0,alive,bridging
1,7,0.5,46.0,1.0881,0.0,90.0,0,sneak_down,0.0,0,alive,bridging
1,8,0.5,46.0,1.0881,9.18,90.0,0,turn_right,0.0,0,alive,bridging
1,9,0.5,46.0,1.0881,28.44,90.0,0,no_op,0.0,0,alive,bridging
1,10,0.5,46.0,1.0881,28.44,90.0,0,move_backward,0.0,0,alive,bridging
1,11,0.5405,46.0,1.046,38.88,90.0,0,turn_right,0.0,0,alive,bridging
1,12,0.5747,46.0,1.0075,58.32,90.0,0,move_backward,0.0,0,alive,bridging
1,13,0.6802,46.0,0.9357,58.32,90.0,0,sneak_down,-0.01,0,alive,bridging
1,14,0.7444,46.0,0.8959,69.12,90.0,0,turn_right,-0.01,0,alive,bridging
1,15,0.7444,46.0,0.8959,88.38,90.0,0,move_forward,-0.01,0,alive,bridging
1,16,0.6764,46.0,0.8932,88.38,90.0,0,turn_right,-0.03,0,alive,bridging
1,17,0.6243,46.0,0.8937,88.38,90.0,0,sneak_down,-0.03,0,alive,bridging
1,18,0.6243,46.0,0.8937,97.38,90.0,0,turn_right,-0.03,0,alive,bridging
1,19,0.6243,46.0,0.8937,117.0,90.0,0,turn_right,-0.03,0,alive,bridging
1,20,0.6243,46.0,0.8937,117.0,90.0,0,place_block,-0.03,0,alive,bridging
1,21,0.6243,46.0,0.8937,117.0,81.18,0,look_up,-0.03,0,alive,bridging
1,22,0.6243,46.0,0.8937,117.0,61.56,0,place_block,-0.03,0,alive,bridging
1,23,0.6243,46.0,0.8937,117.0,61.56,0,strafe_right,-0.03,0,alive,bridging
1,24,0.6229,46.0,0.8454,126.0,61.56,0,turn_right,-0.03,0,alive,bridging
1,25,0.6229,46.0,0.8454,156.06,61.56,0,turn_right,-0.03,0,alive,bridging
1,26,0.6229,46.0,0.8454,173.88,61.56,0,place_block,-0.03,0,alive,bridging
1,27,0.6229,46.0,0.8454,173.88,61.56,0,move_backward,-0.03,0,alive,bridging
1,28,0.6093,46.0,0.9052,173.88,61.56,0,strafe_left,-0.03,0,alive,bridging
1,29,0.565,46.0,0.9764,173.88,61.56,0,place_block,-0.03,0,alive,bridging
1,30,0.565,46.0,0.9764,173.88,61.56,0,place_block,-0.03,0,alive,bridging
1,31,0.565,46.0,0.9764,191.88,61.56,0,turn_right,-0.03,0,alive,bridging
1,32,0.565,46.0,0.9764,211.5,61.56,0,move_backward,-0.03,0,alive,bridging
1,33,0.5194,46.0,1.0569,211.5,51.12,0,look_up,-0.02,0,alive,bridging
1,34,0.4921,46.0,1.1013,211.5,33.12,0,sneak_down,-0.02,0,alive,bridging
1,35,0.4921,46.0,1.1013,211.5,33.12,0,move_backward,-0.02,0,alive,bridging
1,36,0.4392,46.0,1.1913,211.5,24.12,0,look_up,-0.02,0,alive,bridging
1,37,0.4119,46.0,1.2358,211.5,6.12,0,look_up,-0.02,0,alive,bridging
1,38,0.3755,46.0,1.2426,211.5,6.12,0,strafe_left,-0.02,0,alive,bridging
1,39,0.3404,46.0,1.2211,211.5,6.12,0,move_forward,-0.02,0,alive,bridging
1,40,0.4028,46.0,1.0928,211.5,6.12,0,turn_right,-0.02,0,alive,bridging
1,41,0.4475,46.0,1.019,211.5,6.12,0,move_backward,-0.02,0,alive,bridging
1,42,0.4218,46.0,1.056,220.5,6.12,0,turn_right,-0.02,0,alive,bridging
1,43,0.3913,46.0,1.0872,248.94,6.12,0,turn_right,-0.02,0,alive,bridging
1,44,0.3913,46.0,1.0872,275.76,6.12,0,turn_right,-0.02,0,alive,bridging
1,45,0.3913,46.0,1.0872,295.38,6.12,0,place_block,-0.02,0,alive,bridging
1,46,0.3913,46.0,1.0872,295.38,6.12,0,turn_right,-0.02,0,alive,bridging
1,47,0.3913,46.0,1.0872,295.38,6.12,0,move_forward,-0.02,0,alive,bridging
1,48,0.449,46.0,1.133,295.38,6.12,0,turn_right,-0.02,0,alive,bridging
1,49,0.4961,46.0,1.1553,304.2,6.12,0,turn_right,-0.02,0,alive,bridging
